FINAL_RANK,SYMBOL,SECTOR,PE_RATIO,PRICE_TO_BOOK,ROE,REVENUE_GROWTH,EARNINGS_GROWTH,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,GROWTH_SCORE,QUALITY_SCORE,OWNERSHIP_SCORE,VALUATION_SCORE,FINAL_SCORE,RATING,AI_RESEARCH_SUMMARY
1,NGIL,FMCG,0.8828125,2.0304928,0.0,-0.252,1068.519,35.03,9.83,1.41,53413.35,-2.905500000000001,14.851,3631133.5004021446,742252.803630429,STRONG BUY,"NGIL operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 742252.8.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at -0.25.

Promoter holding is currently 35.03%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for NGIL: STRONG BUY."
2,INDSWFTLAB,PHARMA,4.0179815,0.84662485,0.0,16.411,1073.144,55.77,5.94,3.44,54477.75,9.369650000000002,21.6525,801301.4436366039,176610.75512232078,STRONG BUY,"INDSWFTLAB operates in the PHARMA sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 176610.76.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 16.41.

Promoter holding is currently 55.77%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for INDSWFTLAB: STRONG BUY."
3,PIRAMALFIN,OTHERS,29.690239,1.579395,0.06717,-0.247,2441.299,64.17,41.62,13.15,122052.6,-33.7416994,37.273,246697.27160700373,85952.56641158074,STRONG BUY,"PIRAMALFIN operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 85952.57.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.07, while revenue growth stands at -0.25.

Promoter holding is currently 64.17%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for PIRAMALFIN: STRONG BUY."
4,LYPSAGEMS,FMCG,0.0,1.0424482,0.0,-0.018,74.691,64.31,13.12,6.07,3733.65,-10.26445,27.809,224141.778408366,45950.9331466732,STRONG BUY,"LYPSAGEMS operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 45950.93.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at -0.02.

Promoter holding is currently 64.31%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for LYPSAGEMS: STRONG BUY."
5,KIRIINDUS,CHEMICALS,0.5093699,0.7046501,0.0,-0.028,29.226,36.18,3.93,1.98,1459.9,142.17615,14.025,172251.4150874552,34933.71086249104,STRONG BUY,"KIRIINDUS operates in the CHEMICALS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 34933.71.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at -0.03.

Promoter holding is currently 36.18%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for KIRIINDUS: STRONG BUY."
6,THAKDEV,OTHERS,0.0,0.0,0.07186,1.04,39.071,60.64,11.14,4.66,2005.55,18.044999999999995,25.416,117283.0,24068.761700000003,STRONG BUY,"THAKDEV operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 24068.76.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.07, while revenue growth stands at 1.04.

Promoter holding is currently 60.64%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for THAKDEV: STRONG BUY."
7,ADVENTHTL,FMCG,14.722659,0.0003862536,0.0,0.04,1.78,52.41,5.43,3.36,91.0,8.395249999999999,20.6605,78034.60212662882,15640.871100325763,STRONG BUY,"ADVENTHTL operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 15640.87.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.04.

Promoter holding is currently 52.41%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for ADVENTHTL: STRONG BUY."
8,DCMFINSERV,OTHERS,0.0,-0.2178756,0.0,0.0,0.0,54.82,2.48,8.71,0.0,39195.0,21.8885,-67.69325247985549,11749.339049504028,STRONG BUY,"DCMFINSERV operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 11749.34.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.0.

Promoter holding is currently 54.82%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for DCMFINSERV: STRONG BUY."
9,JPOLYINVST,OTHERS,1.304024,0.7082688,0.0,122.309,19.995,62.41,7.4,5.78,7115.2,52.14319999999999,25.2995,46072.95132906517,11369.853125813035,STRONG BUY,"JPOLYINVST operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 11369.85.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 122.31.

Promoter holding is currently 62.41%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for JPOLYINVST: STRONG BUY."
10,THEMISMED,PHARMA,0.0,2.550134,0.0,-0.039,17.167,37.34,11.69,8.92,856.4000000000001,-1.4063500000000004,18.392,51552.76408769109,10570.729312538218,STRONG BUY,"THEMISMED operates in the PHARMA sector and is currently classified as a UNKNOWN company.

The stock currently holds a STRONG BUY institutional rating with a factor score of 0 and a final institutional score of 10570.73.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at -0.04.

Promoter holding is currently 37.34%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for THEMISMED: STRONG BUY."
