SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,CURRENT_PRICE,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,GROWTH_SCORE,GROWTH_RANK,ROE_SCORE,OPERATING_MARGIN_SCORE,PROFIT_MARGIN_SCORE,DEBT_PENALTY,QUALITY_SCORE,QUALITY_RANK,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,PLEDGE_PERCENT,OWNERSHIP_SCORE,OWNERSHIP_RANK,VALUATION_SCORE,VALUATION_RANK,VALUATION_STATUS,ROE_FACTOR,MARGIN_FACTOR,DEBT_FACTOR,QUALITY_FACTOR,REVENUE_FACTOR,EARNINGS_FACTOR,GROWTH_FACTOR,PE_FACTOR,PB_FACTOR,VALUE_FACTOR,PROMOTER_FACTOR,FII_FACTOR,OWNERSHIP_FACTOR,FACTOR_SCORE,FACTOR_RANK,FACTOR_GRADE,PORTFOLIO_WEIGHT,PORTFOLIO_RANK
WILLAMAGOR,313023200.0,MICRO CAP,1.8783695,-0.17289689,0.0,0.0,0.64018995,8.484119,0.878,2.964,28.57,OTHERS,Financial Services,Credit Services,2026-05-11,87.8,296.4,192.1,137,0.0,64.018995,848.4119,0.0,231.3086735,12,56.64,11.47,4.38,6.74,23.686,900,4581.674122718724,39,UNDERVALUED,42.27386934673367,96.39865996649915,93.2788944723618,74.12479061976549,93.57202680067002,94.72361809045226,94.14782244556112,99.17312661498708,96.763202725724,97.96816467035556,74.12060301507537,52.2822445561139,63.20142378559464,82.71570161078803,1,ELITE,5.0,1
JPOLYINVST,11592555520.0,SMALL CAP,1.304024,0.7082688,0.0,1.433,0.9999,0.89158,122.309,19.995,1102.8,OTHERS,Financial Services,Asset Management,2026-05-11,12230.9,1999.5,7115.2,8,0.0,99.99,89.158,1.433,52.14319999999999,34,62.41,7.4,5.78,2.09,25.2995,622,46072.95132906517,9,UNDERVALUED,42.27386934673367,99.41373534338358,78.64321608040201,72.4036850921273,99.91624790619764,98.99497487437183,99.45561139028476,99.328165374677,84.96592844974447,92.14704691221073,91.08040201005024,29.355108877721943,60.2177554438861,82.03074941594298,2,ELITE,5.0,2
UYFINCORP,2743236864.0,MICRO CAP,8.583334,0.78970426,0.0,1.149,0.52711,0.29483998,1.724,7.0,14.42,OTHERS,Financial Services,Credit Services,2026-05-11,172.4,700.0,436.2,64,0.0,52.711,29.483998,1.149,23.0693995,132,53.61,10.53,4.38,2.44,22.773499999999995,1083,2489.2508503921954,62,UNDERVALUED,42.27386934673367,94.72361809045226,79.52261306532662,70.7035175879397,97.19430485762145,97.571189279732,97.38274706867672,92.3514211886305,82.45315161839864,87.40228640351457,65.7035175879397,45.30988274706868,55.50670016750419,79.00767671118868,3,STRONG,5.0,3
STEL,8810609664.0,SMALL CAP,29.70753,0.47491333,0.0,0.0,0.99123,0.41662997,55.585,135.4,477.4,OTHERS,Financial Services,Asset Management,2026-05-11,5558.5,13540.0,9549.25,5,0.0,99.123,41.662997,0.0,40.15264925,58,50.98,13.87,1.29,0.54,22.2725,1170,13737.81689236216,18,UNDERVALUED,42.27386934673367,99.3718592964824,93.2788944723618,75.3140703517588,99.87437185929647,99.79061976549414,99.83249581239532,46.09819121447028,89.90630323679727,68.00224722563378,57.60050251256281,66.4572864321608,62.028894472361806,78.55019818884536,4,STRONG,5.0,4
MAHABANK,626246352896.0,LARGE CAP,8.927631,1.8838935,0.22659999,0.0,0.5789,0.49278998,0.382,0.364,81.42,BANKING,Financial Services,Banks - Regional,2026-05-11,38.2,36.4,37.3,569,22.659999,57.89,49.278998,0.0,37.61774915,67,24.67,40.84,12.94,9.72,23.1495,1021,142.7218223796443,372,UNDERVALUED,96.90117252931324,95.85427135678393,93.2788944723618,95.75795644891124,83.73115577889448,76.15159128978225,79.94137353433837,91.7829457364341,58.68824531516184,75.23559552579798,6.658291457286432,97.44556113902848,52.05192629815746,78.16730335976597,5,STRONG,5.0,5
CORALFINAC,1387605632.0,MICRO CAP,9.617319,0.6441414,0.0,0.0,0.85666,0.70418,0.247,0.603,34.43,REALTY,Real Estate,Real Estate Services,2026-05-11,24.7,60.3,42.5,515,0.0,85.666,70.418,0.0,43.3043,51,58.03,13.97,7.4,9.28,25.4235,601,238.8309474244834,254,UNDERVALUED,42.27386934673367,98.36683417085426,93.2788944723618,74.91206030150754,73.53433835845897,82.24455611390285,77.8894472361809,90.2842377260982,86.54173764906304,88.41298768758062,78.22445561139028,67.29480737018424,72.75963149078726,78.07497609698011,6,STRONG,5.0,6
TATAINVEST,353028669440.0,LARGE CAP,81.70375,1.1098845,0.01438,0.0,0.73079,1.07488,1.539,0.689,697.75,OTHERS,Financial Services,Asset Management,2026-05-11,153.9,68.89999999999999,111.4,225,1.438,73.07900000000001,107.488,0.0,49.299,39,49.76,38.02,10.52,9.08,30.544,194,52.818129602585344,931,FAIR VALUE,83.96147403685093,97.15242881072028,93.2788944723618,91.10134003350085,96.85929648241206,83.96147403685093,90.4103852596315,11.576227390180875,74.53151618398637,43.05387178708362,53.85259631490788,95.60301507537687,74.72780569514238,78.0098530843849,7,STRONG,5.0,7
NAHARCAP,4391682048.0,MICRO CAP,6.6358805,0.26645356,0.0,0.362,0.78769994,1.35098,2.005,1.018,262.25,OTHERS,Financial Services,Capital Markets,2026-05-11,200.5,101.8,151.15,175,0.0,78.769994,135.098,0.362,57.3692982,29,42.54,11.59,9.03,1.81,20.4425,1448,578.8430982277163,142,UNDERVALUED,42.27386934673367,97.73869346733667,83.33333333333334,72.67169179229481,97.7177554438861,87.98157453936348,92.8496649916248,95.55555555555556,93.14310051107326,94.3493280333144,32.70519262981574,53.07788944723618,42.89154103852596,77.10458084954395,8,STRONG,5.0,8
VIJIFIN,617024960.0,MICRO CAP,48.111107,2.939579,0.08825,31.027,0.86291003,0.41875,1.619,2.12,4.33,OTHERS,Financial Services,Credit Services,2026-05-11,161.9,212.0,186.95,141,8.825,86.291003,41.875,31.027,36.342100900000005,71,64.2,13.73,3.06,9.93,26.361,497,143.2309585627577,370,UNDERVALUED,87.60469011725294,98.53433835845895,41.79229480737018,82.81407035175882,97.11055276381909,93.17420435510888,95.142378559464,24.96124031007752,41.35434412265758,33.157792216367554,96.75460636515912,65.66164154103853,81.20812395309883,76.26011790726011,9,STRONG,5.0,9
NBIFIN,6067193856.0,SMALL CAP,39.66197,0.18859228,0.0,0.0,0.91564006,0.65801,14.279,18.254,2053.3,OTHERS,Financial Services,Capital Markets,2026-05-11,1427.9,1825.4,1626.65,23,0.0,91.564006,65.801,0.0,43.9194518,50,58.05,8.34,7.01,4.06,24.166,814,1540.799945725198,81,UNDERVALUED,42.27386934673367,98.86934673366834,93.2788944723618,75.11306532663318,99.49748743718592,98.95309882747068,99.2252931323283,32.55813953488372,94.20783645655877,63.38298799572125,78.26633165829145,33.584589614740366,55.92546063651591,76.16319726413587,10,STRONG,5.0,10
