SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,CURRENT_PRICE,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,GROWTH_SCORE,GROWTH_RANK,ROE_SCORE,OPERATING_MARGIN_SCORE,PROFIT_MARGIN_SCORE,DEBT_PENALTY,QUALITY_SCORE,QUALITY_RANK,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,PLEDGE_PERCENT,OWNERSHIP_SCORE,OWNERSHIP_RANK
MAZDOCK,1034992418816.0,LARGE CAP,40.065586,10.608266,0.2877,4.481,0.19434999,0.18263,0.302,1.09,2565.8,DEFENCE,Industrials,Aerospace & Defense,2026-05-11,30.2,109.0,69.60000000000001,354,28.77,19.434999,18.263,4.481,20.0176497,181,64.84,43.14,29.23,2.81,42.662499999999994,1
AEGISVOPAK,235315249152.0,LARGE CAP,169.904,4.930127,0.0,42.268,0.48457,0.28858998,0.223,0.436,212.38,POWER,Energy,Oil & Gas Equipment & Services,2026-05-11,22.3,43.6,32.95,616,0.0,48.457,28.858998000000003,42.268,17.525049499999998,217,67.98,44.23,19.6,2.54,41.708,2
CRISIL,299101749248.0,LARGE CAP,35.602367,9.86015,0.0,9.785,0.26393,0.2156,0.301,0.459,4090.0,OTHERS,Financial Services,Financial Data & Stock Exchanges,2026-05-11,30.1,45.9,38.0,559,0.0,26.393,21.56,9.785,12.3294,363,64.7,44.25,26.72,8.95,41.705,3
ONGC,3535058501632.0,LARGE CAP,9.292328,0.9603916,0.0,43.805,0.095249996,0.057979997,0.008,0.162,281.0,POWER,Energy,Oil & Gas Integrated,2026-05-11,0.8,16.2,8.5,1197,0.0,9.5249996,5.7979997,43.805,-0.0735001950000002,1401,74.38,37.19,21.01,9.76,41.466499999999996,4
RELIANCE,18785778008064.0,LARGE CAP,23.25293,2.078159,0.09139,36.653,0.099750005,0.0764,0.125,-0.126,1388.2,POWER,Energy,Oil & Gas Refining & Marketing,2026-05-11,12.5,-12.6,-0.0499999999999998,1602,9.139,9.9750005,7.64,36.653,4.43585015,858,73.62,30.69,25.74,2.34,41.175000000000004,5
BDL,513664057344.0,LARGE CAP,88.74605,12.178969,0.0,0.029,0.01179,0.15512,-0.319,-0.504,1401.3,DEFENCE,Industrials,Aerospace & Defense,2026-05-11,-31.9,-50.4,-41.15,2283,0.0,1.179,15.512,0.029,4.2288,883,72.46,43.13,13.38,9.44,40.70099999999999,6
NAVA,206704148480.0,LARGE CAP,23.202034,2.5544088,0.0,15.987,0.32986,0.21457,0.176,-0.09,730.4,CAPITAL GOODS,Industrials,Conglomerates,2026-05-11,17.599999999999998,-9.0,4.299999999999999,1342,0.0,32.986,21.457,15.987,13.66135,306,64.38,37.06,28.13,0.36,40.647499999999994,7
POONAWALLA,386921365504.0,LARGE CAP,64.61257,3.5528529,0.0,425.941,0.24285,0.13774,0.0,6.834,441.95,OTHERS,Financial Services,Credit Services,2026-05-11,0.0,683.4,341.7,78,0.0,24.285,13.774,425.941,-31.8651,2263,62.88,43.23,21.0,2.03,40.023999999999994,8
GVT&D,1135028600832.0,LARGE CAP,106.4833,54.386738,0.0,1.46,0.26053,0.18665001,0.584,1.04,4432.9,CAPITAL GOODS,Industrials,Specialty Industrial Machinery,2026-05-11,58.4,104.0,81.2,309,0.0,26.053,18.665001,1.46,12.33615025,362,64.22,34.55,29.24,2.26,39.926,9
HONAUT,259581509632.0,LARGE CAP,51.454723,6.1931844,0.0,2.215,0.115430005,0.10945,0.071,-0.082,29340.0,CAPITAL GOODS,Industrials,Electrical Equipment & Parts,2026-05-11,7.1,-8.200000000000001,-0.5500000000000007,1625,0.0,11.5430005,10.945,2.215,5.97765015,738,56.71,44.31,27.9,3.18,39.798500000000004,10
