SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,CURRENT_PRICE,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,GROWTH_SCORE,GROWTH_RANK,ROE_SCORE,OPERATING_MARGIN_SCORE,PROFIT_MARGIN_SCORE,DEBT_PENALTY,QUALITY_SCORE,QUALITY_RANK,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,PLEDGE_PERCENT,OWNERSHIP_SCORE,OWNERSHIP_RANK,VALUATION_SCORE,VALUATION_RANK,VALUATION_STATUS,ROE_FACTOR,MARGIN_FACTOR,DEBT_FACTOR,QUALITY_FACTOR,REVENUE_FACTOR,EARNINGS_FACTOR,GROWTH_FACTOR,PE_FACTOR,PB_FACTOR,VALUE_FACTOR,PROMOTER_FACTOR,FII_FACTOR,OWNERSHIP_FACTOR,FACTOR_SCORE,FACTOR_RANK,FACTOR_GRADE,VOLATILITY,SHARPE_RATIO,MAX_DRAWDOWN,RISK_SCORE,RISK_RANK
NIRLON,52719054848.0,MID CAP,16.014235,11.362091,0.0,247.177,0.69381,0.50123,0.053,0.189,585.0,REALTY,Real Estate,Real Estate Services,2026-05-11,5.3,18.9,12.1,1072,0.0,69.381,50.123,247.177,8.62735,540,63.95,20.17,8.3,3.7,30.1385,216,40.54413655068095,1050,FAIR VALUE,42.27386934673367,96.98492462311556,4.815745393634841,56.66666666666667,40.30569514237856,67.02261306532662,53.6641541038526,75.09043927648578,7.5809199318569,41.33567960417134,95.87520938023452,79.89949748743719,87.88735343383584,58.94385283875721,464,AVERAGE,0.09958929053052627,13.962566374268965,-0.001479979788083896,1808.8696850952338,1
GFSTEELS,394677120.0,MICRO CAP,0.0,-6.4656034,0.0,0.0,-19.117071,0.0,0.0,0.0,12.97,METALS,Basic Materials,Steel,2026-05-11,0.0,0.0,0.0,1576,0.0,-1911.7071,0.0,0.0,-573.51213,2373,61.13,6.37,9.29,8.65,24.764,710,65.36006183119738,843,FAIR VALUE,42.27386934673367,0.5862646566164154,93.2788944723618,35.7998324958124,28.58040201005025,40.61976549413736,34.6000837520938,,99.31856899488926,,87.35343383584589,23.345896147403685,55.34966499162479,,2251,WEAK,0.1394139982049129,2.8717619392364897,-0.002666642930772567,1048.4089581259195,2
GOODYEAR,17935362048.0,SMALL CAP,31.659203,3.1183577,0.0,4.835,0.04933,0.02301,-0.039,1.599,777.55,AUTO,Consumer Cyclical,Auto Parts,2026-05-11,-3.9,159.9,78.0,319,0.0,4.933,2.301,4.835,1.5716499999999998,1183,47.74,13.76,6.61,6.54,21.8355,1240,162.40382726913597,332,UNDERVALUED,42.27386934673367,32.1608040201005,69.55611390284757,43.68509212730319,21.29396984924623,91.4572864321608,56.37562814070351,42.377260981912144,39.054514480408855,40.7158877311605,47.90619765494137,65.89195979899498,56.89907872696817,49.541209372027744,1103,WEAK,0.10752062523735022,-4.176771400121831,-0.026846072849851188,429.8133526900068,3
DRAGARWQ,0.0,UNKNOWN,0.0,7.652903,0.0,106.453,0.19541,0.15498,0.222,0.616,5113.8,OTHERS,,,2026-05-11,22.2,61.6,41.9,522,0.0,19.541,15.498,106.453,-0.9085,1492,47.11,3.88,7.62,2.4,19.317500000000003,1654,1891.9200810463688,70,UNDERVALUED,42.27386934673367,77.88944723618091,12.897822445561138,50.64489112227807,70.87520938023451,82.4539363484087,76.6645728643216,,13.798977853492334,,45.938023450586265,9.547738693467336,27.7428810720268,,1953,WEAK,0.17265092181541106,6.962287913316254,-0.013018264031122162,413.16082420574344,4
NITTAGELA,0.0,UNKNOWN,14.098028,2.5864408,0.20804001,0.82,0.33471,0.16530001,0.35,0.736,1287.15,CHEMICALS,Basic Materials,Specialty Chemicals,2026-05-11,35.0,73.6,54.3,423,20.804001,33.471000000000004,16.530001,0.82,21.3732006,156,44.13,3.58,3.33,0.89,17.263,1988,171.05387614522584,323,UNDERVALUED,96.14740368509212,89.65661641541038,81.07202680067002,90.536013400335,81.99329983249581,84.7571189279732,83.37520938023451,80.25839793281654,46.80579216354344,63.53209504817999,37.290619765494135,8.270519262981574,22.78056951423785,69.43589974665443,76,STRONG,0.6505160443586374,11.49462593615999,-0.006637522209448132,408.78540696486255,5
HAWKINCOOK,0.0,UNKNOWN,30.915901,10.433594,0.0,16.196,0.12880999,0.10532,0.162,0.581,7345.0,FMCG,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2026-05-11,16.2,58.1,37.15,572,0.0,12.880999,10.532,16.196,4.8776997,818,39.38,11.13,3.87,2.08,17.881500000000003,1897,60.54791484379915,872,FAIR VALUE,42.27386934673367,63.35845896147404,54.438860971524285,53.14070351758794,61.59966499162479,81.82579564489112,71.71273031825795,43.82428940568475,8.77342419080068,26.29885679824272,23.911222780569517,49.97906197654942,36.94514237855947,50.10482998611421,1066,AVERAGE,0.13743237356522545,-4.604284977620979,-0.029837919568031612,339.66390072409524,6
MAJESAUT,0.0,UNKNOWN,3.8000243,0.46403784,0.0,2.343,-0.88513,1.84944,-0.803,0.0,316.2,REALTY,Real Estate,Real Estate Services,2026-05-11,-80.30000000000001,0.0,-40.150000000000006,2278,0.0,-88.51299999999999,184.944,2.343,19.4478,187,49.6,7.16,9.19,9.05,20.9005,1370,83.07083493752266,666,UNDERVALUED,42.27386934673367,2.9731993299832498,75.58626465661642,33.21608040201005,1.2144053601340032,40.61976549413736,20.91708542713568,98.19121447028424,90.11925042589438,94.15523244808932,53.43383584589615,27.763819095477388,40.59882747068677,43.190761732498935,1485,WEAK,0.17600511902595106,0.3948927482450407,-0.020504731861198833,326.38414968398956,7
SHINDL,0.0,UNKNOWN,0.0,0.0,0.0,81.975,0.05801,0.032679997,0.478,0.1,149.42,OTHERS,,,2026-05-11,47.8,10.0,28.9,677,0.0,5.801,3.2679997000000003,81.975,-5.640200074999999,1872,46.09,11.62,3.72,2.61,20.2865,1475,370.0,185,UNDERVALUED,42.27386934673367,36.01340033500838,18.00670016750419,34.91624790619766,87.10217755443887,61.264656616415415,74.18341708542714,,,,43.34170854271357,53.287269681742046,48.31448911222781,,1981,WEAK,0.16681329003440054,0.5266529087744131,-0.026516432201183493,317.320587961119,8
JSWDULUX,138679353344.0,MID CAP,7.08631,10.4254465,0.0,0.0,0.0,0.0,0.0,0.0,3045.2,OTHERS,,,2026-05-11,0.0,0.0,0.0,1551,0.0,0.0,0.0,0.0,0.0,1376,40.0,13.34,14.64,8.48,20.814,1385,12.755776368115145,1558,EXPENSIVE,42.27386934673367,15.80820770519263,93.2788944723618,41.888609715242886,28.58040201005025,40.61976549413736,34.6000837520938,94.72868217054264,8.816013628620102,51.77234789958136,25.94221105527638,63.12814070351759,44.53517587939699,42.20811279599668,1542,WEAK,0.16590021378078323,1.3447627864275191,-0.03447812682352447,304.49563404798124,9
DISAQ,0.0,UNKNOWN,0.0,6.3780417,0.0,0.04,0.15993,0.1201,0.295,0.539,12152.0,OTHERS,,,2026-05-11,29.5,53.900000000000006,41.7,526,0.0,15.993,12.01,0.04,7.7964,591,62.76,9.35,2.03,7.75,24.5035,756,1661.7036381088574,77,UNDERVALUED,42.27386934673367,71.56616415410384,85.74120603015075,62.68425460636516,78.16164154103853,80.98827470686767,79.57495812395311,,18.143100511073254,,91.79229480737018,38.06532663316583,64.928810720268,,1957,WEAK,0.1776143799804959,-1.3013912391356666,-0.02722702594007642,293.45785103450265,10
