SECTOR,FINAL_SCORE,GROWTH_SCORE,QUALITY_SCORE,OWNERSHIP_SCORE,TOTAL_STOCKS,SECTOR_RANK,SECTOR_STATUS
FMCG,1670.874601099288,180.13014112903227,-5.061895110059829,22.406993951612904,496,1,LEADING
PHARMA,1155.8181311016235,379.9496987951807,-5.386660482334338,24.66887048192771,166,2,LEADING
CHEMICALS,296.6294686191228,78.81949685534592,-0.41421750023584974,22.519959119496853,159,3,LEADING
BANKING,97.23029899771522,29.52926829268293,32.056223177804874,19.689939024390245,41,4,LEADING
REALTY,86.97344736561709,173.25930232558142,-153.59849085683138,22.53168023255814,86,5,LEADING
OTHERS,56.919419347158744,400.97033898305085,-1137.295862033874,23.151074152542375,472,6,STRONG
CAPITAL GOODS,56.31641670632167,44.4401727861771,41.141062668613394,22.785489200863932,463,7,STRONG
AUTO,48.131855184079086,45.083035714285714,-16.770574071294643,24.24410267857143,112,8,NEUTRAL
POWER,36.67932255837907,40.940540540540546,-3.207259451756758,29.240743243243244,37,9,WEAK
IT,32.65704475408858,62.25464601769911,-2.800161978392036,14.638738938053097,226,10,WEAK
NBFC,21.723959141036904,17.416666666666668,6.838553222666665,16.129766666666665,15,11,WEAK
DEFENCE,12.301255274898622,18.984375,-12.993356084375,32.5385,16,12,WEAK
METALS,8.891282121160383,32.22261904761905,-23.51019380018899,23.96052380952381,84,13,WEAK
TELECOM,-159.50311154714316,5.066666666666667,-1.3538067413333346,25.52263333333333,15,14,WEAK
