SYMBOL,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,PLEDGE_PERCENT
20MICRONS,39.89,13.81,5.19,0.54
21STCENMGM,52.69,11.56,3.81,4.1
360ONE,55.38,31.17,14.13,6.7
3BBLACKBIO,41.35,8.67,7.71,3.38
3IINFOLTD,23.07,14.46,3.87,3.25
3MINDIA,51.25,28.16,12.0,9.74
3PLAND,59.81,10.04,6.13,9.9
5PAISA,53.55,12.7,9.45,4.47
63MOONS,32.8,21.84,15.41,4.44
A2ZINFRA,40.32,8.16,3.16,2.83
AAATECH,27.52,8.24,3.5,4.88
AADHARHFC,24.45,30.3,10.38,4.07
AAKASH,61.33,4.74,9.21,9.91
AAREYDRUGS,57.07,6.03,6.9,9.86
AARNAV,41.08,6.49,4.82,0.85
AARON,39.27,5.72,6.33,1.3
AARTECH,60.24,2.29,9.49,9.93
AARTIDRUGS,42.7,2.5,6.75,2.13
AARTIIND,54.97,14.11,18.05,9.02
AARTIPHARM,54.75,12.15,6.63,4.46
AARTISURF,36.65,5.09,8.52,6.17
AARVI,58.61,6.48,4.12,7.39
AAVAS,24.13,11.07,14.32,6.56
ABAN,56.15,10.06,3.47,5.99
ABANSENT,48.52,8.81,2.36,9.41
ABB,50.08,24.46,15.55,4.27
ABBOTINDIA,55.98,39.72,27.78,1.82
ABCAPITAL,38.69,44.88,12.14,9.01
ABCOTS,53.17,2.51,1.88,0.88
ABDL,42.82,24.18,8.11,6.78
ABFRL,49.02,19.01,18.81,3.66
ABINFRA,56.78,14.37,6.09,0.7
ABLBL,44.71,22.08,17.44,1.93
ABMINTLLTD,63.22,4.03,8.76,0.1
ABMKNO,38.43,8.06,6.72,6.63
ABREL,40.47,18.77,17.47,2.42
ABSLAMC,53.35,36.29,13.64,8.3
ACC,37.58,41.17,24.92,5.09
ACCELYA,12.66,10.41,7.99,5.73
ACCURACY,61.28,8.54,7.66,8.66
ACE,64.79,22.16,19.02,2.09
ACEINTEG,35.54,10.01,5.73,0.88
ACI,45.96,24.12,7.5,8.12
ACL,59.05,6.33,6.15,2.22
ACMESOLAR,34.89,23.28,19.83,4.78
ACSTECH,47.39,4.49,6.84,0.14
ACUTAAS,59.81,20.82,24.01,9.1
ADANIENSOL,12.98,29.29,21.7,7.85
ADANIENT,61.04,34.21,15.35,4.4
ADANIGREEN,20.25,40.24,14.94,9.45
ADANIPORTS,36.78,40.74,29.34,0.77
ADANIPOWER,21.74,26.21,10.21,5.45
ADFFOODS,60.84,9.55,9.38,0.32
ADL,48.09,2.43,8.34,2.16
ADOR,45.96,5.58,1.73,6.68
ADROITINFO,17.85,13.97,5.11,2.4
ADSL,13.27,13.76,1.78,6.19
ADVAIT,37.33,8.0,2.06,2.09
ADVANCE,35.72,14.95,8.0,7.72
ADVANIHOTR,56.98,4.72,8.42,9.6
ADVENTHTL,52.41,5.43,3.36,1.52
ADVENZYMES,51.93,6.92,6.26,7.47
AEGISLOG,66.4,34.0,25.3,3.14
AEGISVOPAK,67.98,44.23,19.6,2.54
AEPL,46.99,4.81,5.71,8.61
AEQUS,73.53,19.59,15.72,3.75
AEROENTER,48.19,12.69,7.71,1.66
AEROFLEX,50.92,14.67,11.28,0.56
AERONEU,60.89,2.07,2.69,0.63
AETHER,63.54,19.95,13.21,7.16
AFCONS,58.83,18.29,18.66,2.0
AFFLE,57.59,34.1,19.23,0.49
AFFORDABLE,37.63,6.05,5.71,1.1
AFIL,37.68,12.6,4.04,9.16
AFSL,43.52,12.31,3.86,4.42
AGARIND,42.74,11.15,3.7,7.33
AGARWALEYE,64.16,12.07,8.52,4.81
AGI,55.45,7.6,5.82,5.19
AGIIL,41.49,4.68,5.2,0.53
AGRITECH,45.19,2.66,1.28,3.88
AGROPHOS,48.28,12.32,9.05,3.48
AGSTRA,13.8,14.21,8.58,0.96
AHCL,49.17,3.95,7.55,3.39
AHLADA,46.27,3.48,3.21,9.71
AHLEAST,60.53,9.93,7.47,1.27
AHLUCONT,62.25,24.99,15.43,9.16
AHLWEST,59.72,11.3,4.62,6.72
AIAENG,42.85,24.56,11.94,5.34
AIIL,52.44,21.44,25.65,8.7
AIRAN,24.93,7.19,2.46,7.47
AIROLAM,61.17,7.29,5.54,2.93
AJANTPHARM,61.85,32.94,23.59,7.74
AJAXENGG,62.43,15.7,12.68,0.72
AJMERA,52.32,5.48,3.88,8.34
AJOONI,44.63,9.42,4.17,9.43
AKASH,58.79,13.98,5.25,7.03
AKCAPIT,35.74,6.01,8.22,6.6
AKG,50.1,2.51,9.04,4.42
AKI,47.36,7.6,1.26,6.39
AKSHAR,50.07,4.17,1.37,9.12
AKSHARCHEM,53.37,2.41,1.01,6.56
AKSHOPTFBR,29.54,14.7,1.16,9.25
AKUMS,52.24,13.41,12.64,0.95
ALANKIT,25.22,3.02,8.81,5.8
ALBERTDAVD,37.24,8.75,8.4,9.63
ALEMBICLTD,63.89,3.15,5.63,0.08
ALGOQUANT,64.32,10.31,2.21,8.31
ALICON,42.42,13.82,8.48,8.97
ALIVUS,64.46,14.21,9.52,4.89
ALKALI,48.91,13.23,5.46,7.19
ALKEM,57.74,35.67,20.28,9.17
ALKYLAMINE,63.03,17.99,7.23,3.01
ALLCARGO,53.06,12.38,2.28,6.46
ALLDIGI,41.41,8.13,3.53,7.46
ALLTIME,60.26,11.01,5.79,6.86
ALMONDZ,56.19,14.17,4.71,4.66
ALOKINDS,60.01,17.02,18.54,1.85
ALPA,63.67,2.1,9.88,3.24
ALPHAGEO,63.66,5.31,2.67,0.43
AMAGI,23.81,15.06,14.19,2.59
AMANTA,50.04,2.82,2.94,6.25
AMBALALSA,45.15,9.76,8.38,1.47
AMBER,54.98,21.13,26.85,4.59
AMBICAAGAR,51.21,11.14,2.35,6.53
AMBIKCO,56.94,7.41,7.64,4.32
AMBUJACEM,63.35,36.05,19.48,3.5
AMDIND,36.3,3.2,9.72,5.24
AMIRCHAND,55.35,6.34,1.0,8.68
AMJLAND,47.25,13.13,8.95,7.24
AMNPLST,45.61,7.42,6.47,9.86
AMRUTANJAN,44.44,13.4,2.97,9.38
ANANDRATHI,55.56,29.95,29.41,5.72
ANANTRAJ,51.4,14.72,10.78,5.93
ANDHRAPAP,44.81,8.65,3.91,2.22
ANDHRSUGAR,60.31,10.17,5.4,2.93
ANGELONE,37.28,43.43,25.17,6.75
ANIKINDS,54.36,4.7,5.7,4.77
ANKITMETAL,58.13,8.49,3.68,3.83
ANMOL,68.88,7.44,2.12,7.57
ANSALAPI,61.73,10.01,1.8,8.74
ANTELOPUS,50.13,7.46,2.98,1.94
ANTGRAPHIC,35.31,13.05,3.69,4.98
ANTHEM,49.93,35.1,10.73,1.71
ANUHPHR,53.68,13.22,9.29,8.77
ANUP,37.7,6.43,8.45,8.57
ANURAS,49.48,14.89,11.77,1.17
APARINDS,59.72,40.33,27.36,1.69
APCL,40.64,8.6,5.14,3.3
APCOTEXIND,53.04,7.98,8.51,4.02
APEX,36.29,7.15,7.01,7.88
APLAPOLLO,37.92,30.48,19.05,5.18
APLLTD,43.68,13.22,18.16,6.44
APOLLO,72.55,21.17,19.09,7.31
APOLLOHOSP,40.42,34.15,20.02,5.83
APOLLOPIPE,45.42,2.5,7.97,6.24
APOLLOTYRE,59.87,33.12,14.65,2.55
APOLSINHOT,57.59,2.2,9.71,9.53
APTECHT,64.03,8.16,1.76,5.61
APTUS,33.07,23.42,11.21,1.92
AQYLON,58.1,10.74,9.15,7.38
ARCHIDPLY,51.55,11.83,2.65,3.12
ARCHIES,40.17,9.32,5.62,5.9
ARE&M,42.28,10.29,18.3,1.28
ARENTERP,58.4,5.14,5.74,2.67
ARFIN,63.91,5.98,6.9,4.24
ARIES,58.43,3.55,7.67,4.25
ARIHANT,61.41,13.54,8.87,3.19
ARIHANTCAP,51.99,5.81,1.74,8.04
ARIHANTSUP,60.32,11.81,2.2,1.48
ARIS,54.15,6.24,5.41,6.85
ARKADE,43.56,7.46,3.53,9.44
ARMANFIN,48.75,11.52,2.42,1.47
AROGRANITE,63.05,14.19,5.94,5.03
ARROWGREEN,51.8,6.19,2.47,8.12
ARSHIYA,59.81,3.13,2.63,0.44
ARSSBL,39.29,11.3,4.23,4.52
ARTEMISMED,63.76,11.83,2.24,2.48
ARTNIRMAN,57.74,8.64,5.31,4.62
ARVEE,63.77,9.66,1.75,6.93
ARVIND,35.53,23.41,7.06,4.81
ARVINDFASN,58.69,10.93,17.48,0.83
ARVSMART,44.56,6.45,8.79,1.68
ASAHIINDIA,37.67,22.21,18.43,1.38
ASAHISONG,60.74,6.76,3.2,9.28
ASAL,44.47,7.51,7.98,9.8
ASALCBR,36.31,6.57,6.75,9.73
ASHAPURMIN,58.93,12.13,16.54,9.79
ASHIANA,56.48,8.39,9.53,4.69
ASHIKA,60.46,4.32,7.83,1.37
ASHIMASYN,64.59,6.26,1.67,2.63
ASHOKA,37.35,2.76,8.12,0.31
ASHOKAMET,58.85,9.44,2.32,7.24
ASHOKLEY,53.64,39.64,28.95,6.77
ASIANENE,63.49,4.57,8.41,6.36
ASIANHOTNR,64.93,5.87,3.4,6.12
ASIANPAINT,46.99,26.77,11.19,6.48
ASIANTILES,49.7,8.71,4.49,3.52
ASKAUTOLTD,58.73,18.01,15.45,7.79
ASMS,18.26,5.38,8.71,2.65
ASPINWALL,60.55,3.01,9.97,0.21
ASTAR,56.12,12.5,8.72,7.97
ASTEC,62.53,11.74,6.83,6.03
ASTERDM,52.17,26.87,14.49,2.65
ASTRAL,52.8,29.09,17.51,2.84
ASTRAMICRO,13.87,13.01,17.45,2.52
ASTRAZEN,58.96,39.46,23.2,3.95
ASTRON,38.3,7.4,1.47,8.9
ATALREAL,36.31,6.59,1.0,8.79
ATAM,37.53,11.05,3.86,2.01
ATGL,11.89,24.2,16.28,1.51
ATHERENERG,47.58,32.75,16.72,0.59
ATL,44.24,14.44,3.94,5.72
ATLANTAA,56.75,4.27,9.29,3.39
ATLANTAELE,36.01,12.68,17.4,1.44
ATLASCYCLE,40.6,2.15,5.69,9.66
ATUL,48.24,22.49,13.91,5.8
ATULAUTO,42.5,11.93,5.46,5.77
AUBANK,27.76,25.47,22.58,8.22
AURIGROW,63.1,4.38,4.83,1.52
AURIONPRO,12.26,3.52,4.07,2.56
AUROPHARMA,46.83,31.59,28.8,3.71
AURUM,58.47,10.94,6.86,6.66
AUSOMENT,50.01,4.18,6.9,3.7
AUTOAXLES,59.18,5.62,5.37,5.35
AUTOIND,63.42,2.05,8.02,8.42
AVADHSUGAR,50.77,4.78,5.82,3.77
AVAILFC,47.44,10.39,2.99,9.46
AVALON,34.52,17.37,7.03,9.79
AVANTEL,21.61,8.17,1.01,3.54
AVANTIFEED,47.13,13.14,6.67,9.51
AVG,54.75,9.76,4.19,4.81
AVL,39.5,17.08,11.63,8.75
AVONMORE,56.01,9.08,8.25,4.54
AVROIND,45.49,11.83,6.16,9.34
AVTNPL,44.12,12.21,8.37,9.65
AWFIS,52.62,6.26,2.39,0.03
AWHCL,47.35,2.65,5.38,1.42
AWL,60.4,34.12,16.89,8.79
AXISBANK,18.62,20.94,28.73,8.02
AXISCADES,49.96,20.32,5.72,3.16
AXITA,45.23,13.51,5.76,9.6
AYE,57.18,11.38,3.63,3.56
AYMSYNTEX,52.24,8.65,8.16,9.38
AZAD,47.4,19.87,16.84,7.26
BAFNAPH,61.55,10.78,7.98,3.84
BAGFILMS,64.69,9.12,8.42,9.6
BAIDFIN,37.38,8.61,5.82,0.89
BAJAJ-AUTO,39.89,32.1,18.89,4.16
BAJAJCON,52.11,11.83,15.07,0.54
BAJAJELEC,37.09,11.67,7.55,0.59
BAJAJFINSV,49.93,28.45,27.2,8.59
BAJAJHCARE,45.05,7.69,4.07,3.96
BAJAJHFL,27.75,29.71,26.62,5.13
BAJAJHIND,59.11,4.33,3.07,3.57
BAJAJHLDNG,36.42,26.39,27.33,8.18
BAJAJINDEF,60.92,6.65,7.17,7.46
BAJAJST,53.58,13.53,9.46,9.11
BAJEL,11.64,5.78,1.26,3.15
BAJFINANCE,57.75,41.71,24.3,3.71
BALAJEE,47.23,6.53,5.85,4.15
BALAJITELE,54.47,11.99,2.9,3.04
BALAMINES,53.56,10.79,6.17,1.05
BALAXI,36.62,2.67,8.2,5.36
BALKRISHNA,48.87,11.03,8.94,0.39
BALKRISIND,51.65,27.65,24.66,3.29
BALMLAWRIE,56.58,3.17,5.6,0.59
BALPHARMA,49.84,6.72,3.14,0.07
BALRAMCHIN,63.63,10.43,10.7,6.01
BALUFORGE,58.52,11.49,7.52,4.25
BANARBEADS,44.24,10.54,5.16,1.56
BANARISUG,57.11,3.43,4.22,6.69
BANCOINDIA,40.91,14.04,7.53,6.74
BANDHANBNK,13.89,25.82,17.55,5.7
BANG,60.28,11.98,5.58,6.16
BANKA,58.67,9.44,8.28,4.84
BANKBARODA,34.88,36.63,29.29,2.15
BANKINDIA,21.52,43.09,12.47,2.37
BANSALWIRE,40.14,6.15,1.12,3.58
BANSWRAS,42.15,4.79,6.55,5.16
BASF,51.29,11.29,19.68,4.9
BASML,45.2,4.45,8.86,1.77
BATAINDIA,53.24,21.5,13.16,6.08
BATLIBOI,57.52,3.65,9.85,2.8
BAYERCROP,59.92,20.8,16.45,0.59
BBL,56.46,12.49,2.77,2.72
BBOX,34.27,10.25,5.83,2.17
BBTC,55.87,24.34,10.6,4.77
BBTCL,44.37,3.61,9.79,5.43
BCG,40.38,6.3,4.27,3.15
BCLIND,64.94,13.87,6.16,5.87
BCONCEPTS,39.79,4.23,4.03,3.42
BCPL,43.55,5.8,5.95,0.66
BDL,72.46,43.13,13.38,9.44
BEARDSELL,56.28,10.56,5.19,6.76
BECTORFOOD,36.72,13.12,11.46,9.04
BEDMUTHA,59.42,2.15,3.11,5.06
BEEKAY,51.75,5.31,8.49,6.7
BEL,60.79,36.83,21.69,4.32
BELLACASA,46.74,2.81,4.45,8.0
BELRISE,62.0,14.32,7.65,3.21
BEML,48.48,12.8,10.69,4.43
BENGALASM,43.01,2.88,8.96,4.38
BEPL,61.64,7.04,9.53,2.21
BERGEPAINT,57.59,28.57,24.91,7.63
BESTAGRO,38.23,4.21,7.65,4.62
BETA,47.52,2.77,5.38,4.58
