SYMBOL,FETCH_DATE
20MICRONS.NS,2026-06-04
21STCENMGM.NS,2026-06-04
360ONE.NS,2026-06-04
3BBLACKBIO.NS,2026-06-04
3IINFOLTD.NS,2026-06-04
3MINDIA.NS,2026-06-04
3PLAND.NS,2026-06-04
5PAISA.NS,2026-06-04
63MOONS.NS,2026-06-04
A2ZINFRA.NS,2026-06-04
AAATECH.NS,2026-06-04
AADHARHFC.NS,2026-06-04
AAKASH.NS,2026-06-04
AAREYDRUGS.NS,2026-06-04
AARNAV.NS,2026-06-04
AARON.NS,2026-06-04
AARTECH.NS,2026-06-04
AARTIDRUGS.NS,2026-06-04
AARTIIND.NS,2026-06-04
AARTIPHARM.NS,2026-06-04
AARTISURF.NS,2026-06-04
AARVI.NS,2026-06-04
AAVAS.NS,2026-06-04
ABANSENT.NS,2026-06-04
ABB.NS,2026-06-04
ABBOTINDIA.NS,2026-06-04
ABCAPITAL.NS,2026-06-04
ABCOTS.NS,2026-06-04
ABDL.NS,2026-06-04
ABFRL.NS,2026-06-04
ABINFRA.NS,2026-06-04
ABLBL.NS,2026-06-04
ABMINTLLTD.NS,2026-06-04
ABMKNO.NS,2026-06-04
ABREL.NS,2026-06-04
ABSLAMC.NS,2026-06-04
ACC.NS,2026-06-04
ACCELYA.NS,2026-06-04
ACCURACY.NS,2026-06-04
ACE.NS,2026-06-04
ACEINTEG.NS,2026-06-04
ACI.NS,2026-06-04
ACL.NS,2026-06-04
ACMESOLAR.NS,2026-06-04
ACSTECH.NS,2026-06-04
ACUTAAS.NS,2026-06-04
ADANIENSOL.NS,2026-06-04
ADANIENT.NS,2026-06-04
ADANIGREEN.NS,2026-06-04
ADANIPORTS.NS,2026-06-04
ADANIPOWER.NS,2026-06-04
ADFFOODS.NS,2026-06-04
ADL.NS,2026-06-04
ADOR.NS,2026-06-04
ADROITINFO.NS,2026-06-04
ADSL.NS,2026-06-04
ADVAIT.NS,2026-06-04
ADVANCE.NS,2026-06-04
ADVANIHOTR.NS,2026-06-04
ADVENTHTL.NS,2026-06-04
ADVENZYMES.NS,2026-06-04
AEGISLOG.NS,2026-06-04
AEGISVOPAK.NS,2026-06-04
AEPL.NS,2026-06-04
AEQUS.NS,2026-06-04
AEROENTER.NS,2026-06-04
AEROFLEX.NS,2026-06-04
AERONEU.NS,2026-06-04
AETHER.NS,2026-06-04
AFCONS.NS,2026-06-04
AFFLE.NS,2026-06-04
AFFORDABLE.NS,2026-06-04
AFIL.NS,2026-06-04
AFSL.NS,2026-06-04
AGARIND.NS,2026-06-04
AGARWALEYE.NS,2026-06-04
AGI.NS,2026-06-04
AGIIL.NS,2026-06-04
AGRITECH.NS,2026-06-04
AGROPHOS.NS,2026-06-04
AGSTRA.NS,2026-06-04
AHCL.NS,2026-06-04
AHLADA.NS,2026-06-04
AHLEAST.NS,2026-06-04
AHLUCONT.NS,2026-06-04
AHLWEST.NS,2026-06-04
AIAENG.NS,2026-06-04
AIIL.NS,2026-06-04
AIRAN.NS,2026-06-04
AIROLAM.NS,2026-06-04
AJANTPHARM.NS,2026-06-04
AJAXENGG.NS,2026-06-04
AJMERA.NS,2026-06-04
AJOONI.NS,2026-06-04
AKASH.NS,2026-06-04
AKCAPIT.NS,2026-06-04
AKG.NS,2026-06-04
AKI.NS,2026-06-04
AKSHAR.NS,2026-06-04
AKSHARCHEM.NS,2026-06-04
AKSHOPTFBR.NS,2026-06-04
AKUMS.NS,2026-06-04
ALANKIT.NS,2026-06-04
ALBERTDAVD.NS,2026-06-04
ALEMBICLTD.NS,2026-06-04
ALGOQUANT.NS,2026-06-04
ALICON.NS,2026-06-04
ALIVUS.NS,2026-06-04
ALKALI.NS,2026-06-04
ALKEM.NS,2026-06-04
ALKYLAMINE.NS,2026-06-04
ALLCARGO.NS,2026-06-04
ALLDIGI.NS,2026-06-04
ALLTIME.NS,2026-06-04
ALMONDZ.NS,2026-06-04
ALOKINDS.NS,2026-06-04
ALPA.NS,2026-06-04
ALPHAGEO.NS,2026-06-04
AMAGI.NS,2026-06-04
AMANTA.NS,2026-06-04
AMBALALSA.NS,2026-06-04
AMBER.NS,2026-06-04
AMBICAAGAR.NS,2026-06-04
AMBIKCO.NS,2026-06-04
AMBUJACEM.NS,2026-06-04
AMDIND.NS,2026-06-04
AMIRCHAND.NS,2026-06-04
AMJLAND.NS,2026-06-04
AMNPLST.NS,2026-06-04
AMRUTANJAN.NS,2026-06-04
ANANDRATHI.NS,2026-06-04
ANANTRAJ.NS,2026-06-04
ANDHRAPAP.NS,2026-06-04
ANDHRSUGAR.NS,2026-06-04
ANGELONE.NS,2026-06-04
ANIKINDS.NS,2026-06-04
ANKITMETAL.NS,2026-06-04
ANMOL.NS,2026-06-04
ANSALAPI.NS,2026-06-04
ANTELOPUS.NS,2026-06-04
ANTGRAPHIC.NS,2026-06-04
ANTHEM.NS,2026-06-04
ANUHPHR.NS,2026-06-04
ANUP.NS,2026-06-04
ANURAS.NS,2026-06-04
APARINDS.NS,2026-06-04
APCL.NS,2026-06-04
APCOTEXIND.NS,2026-06-04
APEX.NS,2026-06-04
APLAPOLLO.NS,2026-06-04
APLLTD.NS,2026-06-04
APOLLO.NS,2026-06-04
APOLLOHOSP.NS,2026-06-04
APOLLOPIPE.NS,2026-06-04
APOLLOTYRE.NS,2026-06-04
APOLSINHOT.NS,2026-06-04
APTECHT.NS,2026-06-04
APTUS.NS,2026-06-04
AQYLON.NS,2026-06-04
ARCHIDPLY.NS,2026-06-04
ARCHIES.NS,2026-06-04
ARE&M.NS,2026-06-04
ARENTERP.NS,2026-06-04
ARFIN.NS,2026-06-04
ARIES.NS,2026-06-04
ARIHANT.NS,2026-06-04
ARIHANTCAP.NS,2026-06-04
ARIHANTSUP.NS,2026-06-04
ARIS.NS,2026-06-04
ARKADE.NS,2026-06-04
ARMANFIN.NS,2026-06-04
AROGRANITE.NS,2026-06-04
ARROWGREEN.NS,2026-06-04
ARSHIYA.NS,2026-06-04
ARSSBL.NS,2026-06-04
ARTEMISMED.NS,2026-06-04
ARTNIRMAN.NS,2026-06-04
ARVEE.NS,2026-06-04
ARVIND.NS,2026-06-04
ARVINDFASN.NS,2026-06-04
ARVSMART.NS,2026-06-04
ASAHIINDIA.NS,2026-06-04
ASAHISONG.NS,2026-06-04
ASAL.NS,2026-06-04
ASALCBR.NS,2026-06-04
ASHAPURMIN.NS,2026-06-04
ASHIANA.NS,2026-06-04
ASHIKA.NS,2026-06-04
ASHIMASYN.NS,2026-06-04
ASHOKA.NS,2026-06-04
ASHOKAMET.NS,2026-06-04
ASHOKLEY.NS,2026-06-04
ASIANENE.NS,2026-06-04
ASIANHOTNR.NS,2026-06-04
ASIANPAINT.NS,2026-06-04
ASIANTILES.NS,2026-06-04
ASKAUTOLTD.NS,2026-06-04
ASMS.NS,2026-06-04
ASPINWALL.NS,2026-06-04
ASTAR.NS,2026-06-04
ASTEC.NS,2026-06-04
ASTERDM.NS,2026-06-04
ASTRAL.NS,2026-06-04
ASTRAMICRO.NS,2026-06-04
ASTRAZEN.NS,2026-06-04
ASTRON.NS,2026-06-04
ATALREAL.NS,2026-06-04
ATAM.NS,2026-06-04
ATGL.NS,2026-06-04
ATHERENERG.NS,2026-06-04
ATL.NS,2026-06-04
ATLANTAA.NS,2026-06-04
ATLANTAELE.NS,2026-06-04
ATLASCYCLE.NS,2026-06-04
ATUL.NS,2026-06-04
ATULAUTO.NS,2026-06-04
AUBANK.NS,2026-06-04
AURIGROW.NS,2026-06-04
AURIONPRO.NS,2026-06-04
AUROPHARMA.NS,2026-06-04
AURUM.NS,2026-06-04
AUSOMENT.NS,2026-06-04
AUTOAXLES.NS,2026-06-04
AUTOIND.NS,2026-06-04
AVADHSUGAR.NS,2026-06-04
AVALON.NS,2026-06-04
AVANTEL.NS,2026-06-04
AVANTIFEED.NS,2026-06-04
AVG.NS,2026-06-04
AVG-RE.NS,2026-06-04
AVL.NS,2026-06-04
AVONMORE.NS,2026-06-04
AVROIND.NS,2026-06-04
AVTNPL.NS,2026-06-04
AWFIS.NS,2026-06-04
AWHCL.NS,2026-06-04
AWL.NS,2026-06-04
AXISBANK.NS,2026-06-04
AXISCADES.NS,2026-06-04
AXITA.NS,2026-06-04
AYE.NS,2026-06-04
AYMSYNTEX.NS,2026-06-04
AZAD.NS,2026-06-04
BAFNAPH.NS,2026-06-04
BAGFILMS.NS,2026-06-04
BAIDFIN.NS,2026-06-04
BAJAJ-AUTO.NS,2026-06-04
BAJAJCON.NS,2026-06-04
BAJAJELEC.NS,2026-06-04
BAJAJFINSV.NS,2026-06-04
BAJAJHCARE.NS,2026-06-04
BAJAJHFL.NS,2026-06-04
BAJAJHIND.NS,2026-06-04
BAJAJHLDNG.NS,2026-06-04
BAJAJINDEF.NS,2026-06-04
BAJAJST.NS,2026-06-04
BAJEL.NS,2026-06-04
BAJFINANCE.NS,2026-06-04
BALAJEE.NS,2026-06-04
BALAJITELE.NS,2026-06-04
BALAMINES.NS,2026-06-04
BALAXI.NS,2026-06-04
BALKRISHNA.NS,2026-06-04
BALKRISIND.NS,2026-06-04
BALMLAWRIE.NS,2026-06-04
BALPHARMA.NS,2026-06-04
BALRAMCHIN.NS,2026-06-04
BALUFORGE.NS,2026-06-04
BANARBEADS.NS,2026-06-04
BANARISUG.NS,2026-06-04
BANCOINDIA.NS,2026-06-04
BANDHANBNK.NS,2026-06-04
BANG.NS,2026-06-04
BANKA.NS,2026-06-04
BANKBARODA.NS,2026-06-04
BANKINDIA.NS,2026-06-04
BANSALWIRE.NS,2026-06-04
BANSWRAS.NS,2026-06-04
BASF.NS,2026-06-04
BASML.NS,2026-06-04
BATAINDIA.NS,2026-06-04
BATLIBOI.NS,2026-06-04
BAYERCROP.NS,2026-06-04
BBL.NS,2026-06-04
BBOX.NS,2026-06-04
BBTC.NS,2026-06-04
BBTCL.NS,2026-06-04
BCG.NS,2026-06-04
BCLIND.NS,2026-06-04
BCONCEPTS.NS,2026-06-04
BCPL.NS,2026-06-04
BDL.NS,2026-06-04
BEARDSELL.NS,2026-06-04
BECTORFOOD.NS,2026-06-04
BEDMUTHA.NS,2026-06-04
BEEKAY.NS,2026-06-04
BEL.NS,2026-06-04
BELLACASA.NS,2026-06-04
BELRISE.NS,2026-06-04
BEML.NS,2026-06-04
BENGALASM.NS,2026-06-04
BEPL.NS,2026-06-04
BERGEPAINT.NS,2026-06-04
BESTAGRO.NS,2026-06-04
BETA.NS,2026-06-04
BFINVEST.NS,2026-06-04
BFUTILITIE.NS,2026-06-04
BGRENERGY.NS,2026-06-04
BHAGCHEM.NS,2026-06-04
BHAGERIA.NS,2026-06-04
