SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,CURRENT_PRICE,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,SUBSECTOR,HIGH_QUALITY_FLAG,HIGH_GROWTH_FLAG,COMPOUNDER_FLAG,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,ROE_SCORE,OPERATING_MARGIN_SCORE,GROWTH_STABILITY_SCORE,GROWTH_SCORE,GROWTH_CATEGORY
CALSOFT,1335494016.0,MICRO CAP,21.600000381469727,120.0,3.2354703,0.32296002,3.905,0.88351,0.54057,5.351176299999867,12.812489799999865,Technology,Technology,Software - Application,2026-06-02,SaaS,0,1,1,99.51,99.51,96.83,98.83,99.51,98.91,ELITE GROWTH
LLOYDSME,1020420882432.0,LARGE CAP,1813.9000244140625,26.90049,6.9341865,0.36945,145.214,0.38871,0.2148,4.055,6.048,Misc,Basic Materials,Steel,2026-06-02,Steel,0,1,1,98.71,97.61,97.61,92.8,98.16,97.51,ELITE GROWTH
MCX,721420222464.0,LARGE CAP,2834.5,54.207306,17.143358,0.37883,0.113,0.73859,0.54818,2.0,2.912,Misc,Financial Services,Financial Data & Stock Exchanges,2026-06-02,Financial Data & Stock Exchanges,1,1,1,98.0,95.73,97.89,97.69,96.86500000000001,97.15,ELITE GROWTH
WEBELSOLAR,45539405824.0,SMALL CAP,104.88999938964844,15.027221,11.3162155,0.5137423209999978,20.729,0.30507,0.28873,1.321,1.443,Misc,Technology,Solar,2026-06-02,Solar,0,1,1,96.79,91.46,99.51,89.39,94.125,94.73,ELITE GROWTH
TIMEX,44115148800.0,SMALL CAP,437.0,58.50067,38.563362,0.5137423209999978,31.919,0.16803,0.094469994,0.737,6.946,Misc,Consumer Cyclical,Luxury Goods,2026-06-02,Luxury Goods,0,1,1,93.38,98.12,99.51,76.19,95.75,94.55,ELITE GROWTH
CUPID,172076236800.0,MID CAP,127.97000122070312,161.98734,38.120346,0.27297002,12.506,0.30211002,0.2894,1.124,2.142,Consumer,Consumer Defensive,Household & Personal Products,2026-06-02,FMCG – Personal Care,0,1,1,95.85,94.28,94.48,89.31,95.065,94.37,ELITE GROWTH
PNGSREVA,11929693184.0,SMALL CAP,376.3500061035156,13.237777,6.84024,0.21013,32.942,0.21965,0.14727001,1.389,2.668,Misc,Consumer Cyclical,Luxury Goods,2026-06-02,Luxury Goods,0,1,1,96.99,95.14,90.13,83.24,96.065,93.6,ELITE GROWTH
SOLEX,12920856576.0,SMALL CAP,1196.0999755859375,13.4605,6.932306,0.47055998,132.242,0.09936,0.05933,2.481,3.046,Misc,Technology,Solar,2026-06-02,Solar,0,1,0,98.32,95.77,98.67,57.36,97.04499999999999,93.4,ELITE GROWTH
SKMEGGPROD,12260241408.0,SMALL CAP,232.52999877929688,11.809547,3.61425,0.29677,35.857,0.25747,0.13509,0.589,4.151,Misc,Consumer Defensive,Packaged Foods,2026-06-02,Packaged Foods,0,1,1,90.76,96.71,95.73,86.1,93.735,93.37,ELITE GROWTH
VIVIANA,9289220096.0,MICRO CAP,925.0,46.134666,12.699939,0.5137423209999978,86.047,0.13649,0.099259995,1.396,1.826,Industrials,Industrials,Engineering & Construction,2026-06-02,Engineering & EPC,0,1,0,97.02,93.27,99.51,68.4,95.145,93.34,ELITE GROWTH
