SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,CURRENT_PRICE,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,SUBSECTOR,HIGH_QUALITY_FLAG,HIGH_GROWTH_FLAG,COMPOUNDER_FLAG,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,ROE_SCORE,OPERATING_MARGIN_SCORE,GROWTH_STABILITY_SCORE,GROWTH_SCORE,GROWTH_CATEGORY,QUALITY_SCORE,OWNERSHIP_SCORE,GROWTH_SCORE_SECTOR_REL,QUALITY_SCORE_SECTOR_REL,OWNERSHIP_SCORE_SECTOR_REL,GROWTH_SCORE_SUBSECTOR_REL,QUALITY_SCORE_SUBSECTOR_REL,OWNERSHIP_SCORE_SUBSECTOR_REL,INSTITUTIONAL_BREADTH,LEADERSHIP_SCORE,CONFIDENCE_SCORE,FINAL_SCORE,ELITE_FLAG,TRADE_DECISION,MARKET_REGIME,MARKET_BREADTH,VOLATILITY_REGIME,RISK_REGIME,SMART_MONEY_SCORE,LEADING_SECTOR,ANOMALY_FLAG,COMPOUNDER_PROBABILITY,CRASH_RISK_SCORE,BREAKOUT_FLAG,AI_CONVICTION_SCORE,AI_WATCHLIST,RANK,INSTITUTIONAL_GRADE,PORTFOLIO_RISK_SCORE,EXPECTED_RETURN_SCORE,SHARPE_LIKE_SCORE,PORTFOLIO_WEIGHT
OFSS,884225343488.0,LARGE CAP,10152.0,33.653656,11.292664,0.32606,0.415,0.50402,0.34401,0.203,0.306,Technology,Technology,Software - Infrastructure,2026-05-29,Software Products,1,1,1,70.84,75.19,97.38,95.18,73.015,80.1,HIGH GROWTH,86,100,93.04,100.0,100.0,100.0,100.0,100.0,100.0,99.92,98.92,98.47,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,99.71,Energy,0,87.33,6.68,1,96.66,1,3,A+,8.49,92.14,100.0,0.6784709581333773
MUTHOOTFIN,1319064829952.0,LARGE CAP,3285.60009765625,12.450642,3.7030232,0.30406,379.707,0.78154,0.55206,0.537,1.267,Financials,Financial Services,Credit Services,2026-05-29,NBFC – Lending,0,1,1,89.8,90.21,96.59,97.85,90.005,92.11,ELITE GROWTH,75,90,99.35,99.35,99.68,98.46,100.0,100.0,66.66666666666666,99.88,89.76,95.55,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,92.41,Energy,0,84.71,16.83,1,91.15,1,6,A+,18.78,93.86,94.90394337714862,0.6122786695349991
DRCSYSTEMS,2177068800.0,MICRO CAP,15.109999656677246,10.792857,1.6492033,0.21816,0.371,0.23049,0.19753,0.607,0.279,Technology,Technology,Information Technology Services,2026-05-29,IT Services,1,1,1,91.6,73.72,92.24,83.82,82.66,84.69,HIGH GROWTH,73,60,95.65,97.39,92.17,96.83,98.41,90.48,100.0,98.55,98.38,91.88,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,79.23,Energy,0,77.68,20.72,1,87.5,1,17,A+,19.41,88.04,86.27143557079863,0.5295383087870263
GARUDA,16315800576.0,SMALL CAP,175.36000061035156,13.31511,3.5796523,0.31127,2.649,0.32101002,0.23080999,0.827,0.908,Industrials,Industrials,Engineering & Construction,2026-05-29,Engineering & EPC,0,1,1,94.12,87.45,96.75,89.86,90.785,91.89,ELITE GROWTH,75,70,100.0,98.94,99.47,100.0,98.94,99.47,66.66666666666666,99.69,89.72,90.44,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,82.35,Energy,0,81.63,20.85,1,86.48,1,22,A+,20.4,91.06,85.10280373831776,0.5129902366374317
MAHABANK,615939702784.0,LARGE CAP,80.08000183105469,8.780702,1.8528887,0.22659999,29.454,0.5789,0.49278998,0.382,0.364,Financials,Financial Services,Banks - Regional,2026-05-29,Private Sector Banks,0,1,1,85.0,76.97,92.99,96.44,80.985,84.93,HIGH GROWTH,68,90,95.48,95.81,99.68,100.0,98.78,100.0,66.66666666666666,99.61,88.54,92.5,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,92.04,Energy,0,79.28,20.41,1,88.75,1,14,A+,23.26,90.62,74.7073371805441,0.46334602018864807
KSOLVES,6854009856.0,MICRO CAP,288.95001220703125,19.94134,20.601028,0.44688016848000045,19.398,0.27325,0.21104999,0.291,0.658,Technology,Technology,Software - Application,2026-05-29,SaaS,0,1,1,79.91,84.1,99.51,87.07,82.005,86.01,ELITE GROWTH,75,60,97.39,98.7,92.17,94.12,100.0,95.59,66.66666666666666,99.02,89.02,88.82,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,77.01,Energy,0,78.01,23.09,1,83.76,1,32,A+,21.43,87.35,77.88675880517164,0.46334602018864807
HINDCOPPER,539309309952.0,LARGE CAP,557.7000122070312,58.705265,18.187452,0.30602,3.319,0.48468,0.29843,0.581,1.366,Metals,Basic Materials,Copper,2026-05-29,Copper,0,1,1,90.7,90.68,96.67,94.91,90.69,92.31,ELITE GROWTH,60,90,100.0,91.67,100.0,100.0,100.0,100.0,66.66666666666666,99.65,88.61,92.82,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,92.06,Energy,0,78.67,23.99,1,88.75,1,11,A+,27.87,93.22,64.57914790439902,0.3971537315902697
GODFRYPHLP,363016355840.0,MID CAP,2327.300048828125,23.808697,5.843186,0.26593,3.757,0.29102,0.23878,0.136,0.861,Consumer,Consumer Defensive,Tobacco,2026-05-29,Tobacco,0,1,1,60.89,86.86,94.71,88.29,73.875,79.48,HIGH GROWTH,68,70,82.61,91.3,84.78,66.67,66.67,83.33,66.66666666666666,98.16,85.35,86.78,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,80.88,Energy,0,74.05,25.53,0,82.4,0,50,A+,25.94,85.09,63.17000742390498,0.3640575872910805
CUPID,174725218304.0,MID CAP,129.94000244140625,164.48102,45.705242,0.27297002,12.506,0.30211002,0.2894,1.124,2.142,Consumer,Consumer Defensive,Household & Personal Products,2026-05-29,FMCG – Personal Care,0,1,1,95.69,94.05,95.06,89.07,94.87,94.33,ELITE GROWTH,60,80,100.0,73.91,97.83,100.0,82.35,97.06,66.66666666666666,99.53,85.9,89.11,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,86.36,Energy,0,77.61,26.94,1,85.32,1,29,A+,29.6,92.18,60.248366013071895,0.3640575872910805
TRAVELFOOD,160161775616.0,MID CAP,1216.300048828125,36.329155,13.526619,0.35699,16.722,0.4348,0.25308,0.515,0.172,Hospitality,Consumer Cyclical,Restaurants,2026-05-29,Restaurants,0,1,1,89.13,67.74,97.85,94.01,78.435,83.88,HIGH GROWTH,60,80,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,98.67,89.47,88.23,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,87.04,Energy,0,74.31,25.69,1,85.46,1,36,A+,28.38,88.45,60.21102791014296,0.3640575872910805
BAJAJ-AUTO,2966424387584.0,MEGA CAP,10622.0,27.605385,7.6405177,0.28046,56.289,0.18642001,0.16507,0.488,1.031,Automobiles,Consumer Cyclical,Auto Manufacturers,2026-05-29,Passenger Vehicles,0,1,1,88.52,88.39,95.46,78.42,88.455,88.85,ELITE GROWTH,55,80,99.04,95.67,99.04,100.0,92.86,92.86,66.66666666666666,98.79,88.72,94.21,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,86.88,Energy,0,73.97,28.2,1,86.96,1,9,A+,31.54,90.57,55.666871542716656,0.3475095151414859
CHOLAFIN,1326824554496.0,LARGE CAP,1556.5,25.145395,4.3493934,0.19334999,614.0908400000002,0.56111,0.39784,0.241,0.291,Financials,Financial Services,Credit Services,2026-05-29,NBFC – Lending,0,1,1,75.28,74.36,89.13,95.97,74.82,79.8,HIGH GROWTH,61,80,90.97,92.26,97.42,87.69,92.31,97.69,66.66666666666666,98.24,86.78,89.38,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,86.26,Energy,0,73.01,26.18,0,84.68,0,27,A+,28.72,86.6,58.277254374158815,0.3475095151414859
ANANDRATHI,291219767296.0,MID CAP,3507.800048828125,74.50722,29.175747,0.44688016848000045,8.25,0.40331,0.31594,0.476,0.384,Financials,Financial Services,Asset Management,2026-05-29,Asset Management Companies,0,1,1,88.25,77.63,99.51,93.18,82.94,87.28,ELITE GROWTH,60,80,96.77,77.1,97.42,93.33,70.0,98.33,66.66666666666666,99.06,85.7,87.5,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,86.19,Energy,0,75.12,27.0,1,84.25,1,44,A+,29.66,89.3,58.25179386823222,0.3475095151414859
CALSOFT,1171030400.0,MICRO CAP,18.940000534057617,105.22222,2.8370283,0.32296002,3.905,0.88351,0.54057,5.038001600000003,14.661280000000012,Technology,Technology,Software - Application,2026-05-29,SaaS,0,1,1,99.51,99.51,97.3,98.67,99.51,98.98,ELITE GROWTH,60,60,100.0,91.3,92.17,100.0,97.06,95.59,66.66666666666666,98.94,88.27,88.84,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,76.8,Energy,0,76.47,30.11,1,83.21,1,31,A+,30.39,91.7,58.42625039821599,0.3475095151414859
KARURVYSYA,281527779328.0,MID CAP,291.25,11.219184,2.1992586,0.19282,29.454,0.57609004,0.4005,0.195,0.412,Financials,Financial Services,Banks - Regional,2026-05-29,Private Sector Banks,0,1,1,69.53,78.34,89.07,96.36,73.935,79.2,HIGH GROWTH,68,60,89.68,95.81,79.35,95.12,98.78,73.17,66.66666666666666,97.34,86.76,87.08,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,76.03,Energy,0,72.6,27.03,0,81.34,0,45,A+,26.26,83.79,61.47468818782098,0.3475095151414859
KPEL,24341262336.0,SMALL CAP,360.1000061035156,13.416543,4.639268,0.43485,100.154,0.19368,0.12117,0.575,0.693,Industrials,Industrials,Engineering & Construction,2026-05-29,Engineering & EPC,0,1,1,90.6,84.72,98.94,79.55,87.66,89.1,ELITE GROWTH,62,60,98.94,94.68,96.28,98.94,94.68,96.28,66.66666666666666,97.85,88.18,86.85,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,76.51,Energy,0,73.8,29.24,1,81.99,1,48,A+,29.26,87.62,57.91143423661599,0.3309614429918914
NAM-INDIA,703352799232.0,LARGE CAP,1101.5999755859375,46.618706,15.060083,0.34476003,1.617,0.65431,0.52143,0.196,0.273,Financials,Financial Services,Asset Management,2026-05-29,Asset Management Companies,0,1,1,69.74,73.38,97.65,97.06,71.56,79.33,HIGH GROWTH,60,80,90.32,77.1,97.42,90.0,70.0,98.33,66.66666666666666,97.88,84.26,88.04,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,85.54,Energy,0,72.19,27.51,0,83.3,0,38,A+,30.15,85.89,55.146067415730336,0.3309614429918914
VSTIND,43793125376.0,SMALL CAP,258.29998779296875,15.0,3.4552872,0.21114,29.454,0.31738,0.19955999,0.309,1.195,Consumer,Consumer Defensive,Tobacco,2026-05-29,Tobacco,0,1,1,81.22,89.58,91.46,89.66,85.4,87.04,ELITE GROWTH,63,60,95.65,82.61,69.57,100.0,33.33,33.33,66.66666666666666,97.73,85.83,85.62,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,75.89,Energy,0,73.25,29.61,1,80.77,1,65,A+,29.48,86.47,56.73884514435695,0.3309614429918914
SOLARINDS,1676690194432.0,LARGE CAP,18529.0,100.34116,26.710007,0.31332,23.271,0.26174,0.17052001,0.409,0.7,Chemicals,Basic Materials,Specialty Chemicals,2026-05-29,Specialty Chemicals,0,1,1,86.17,84.86,96.83,86.25,85.515,87.85,ELITE GROWTH,55,80,98.14,95.65,99.69,98.25,95.61,99.56,66.66666666666666,98.51,88.47,90.84,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,86.74,Energy,0,73.59,28.29,1,85.77,1,21,A+,31.62,89.83,55.07664009809932,0.3309614429918914
ACUTAAS,251213332480.0,MID CAP,3068.39990234375,88.14708,15.195741,0.23516001,2.081,0.4018,0.26599002,0.403,1.056,Chemicals,Basic Materials,Specialty Chemicals,2026-05-29,Specialty Chemicals,0,1,1,85.72,88.56,93.38,93.11,87.14,88.98,ELITE GROWTH,53,80,99.38,94.1,99.69,100.0,94.3,99.56,66.66666666666666,98.43,88.39,87.71,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.81,MODERATE VOLATILITY,RISK ON,86.7,Energy,0,73.18,29.21,1,84.72,1,41,A+,32.81,89.94,53.20319432120674,0.3144133708422968
