SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,CURRENT_PRICE,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,SUBSECTOR,HIGH_QUALITY_FLAG,HIGH_GROWTH_FLAG,COMPOUNDER_FLAG,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,ROE_SCORE,OPERATING_MARGIN_SCORE,GROWTH_STABILITY_SCORE,GROWTH_SCORE,GROWTH_CATEGORY,QUALITY_SCORE,OWNERSHIP_SCORE,GROWTH_SCORE_SECTOR_REL,QUALITY_SCORE_SECTOR_REL,OWNERSHIP_SCORE_SECTOR_REL,GROWTH_SCORE_SUBSECTOR_REL,QUALITY_SCORE_SUBSECTOR_REL,OWNERSHIP_SCORE_SUBSECTOR_REL,INSTITUTIONAL_BREADTH,LEADERSHIP_SCORE,CONFIDENCE_SCORE,FINAL_SCORE,ELITE_FLAG,TRADE_DECISION,MARKET_REGIME,MARKET_BREADTH,VOLATILITY_REGIME,RISK_REGIME,SMART_MONEY_SCORE,LEADING_SECTOR,ANOMALY_FLAG,COMPOUNDER_PROBABILITY,CRASH_RISK_SCORE,BREAKOUT_FLAG,AI_CONVICTION_SCORE,AI_WATCHLIST,RANK,INSTITUTIONAL_GRADE,PORTFOLIO_RISK_SCORE,EXPECTED_RETURN_SCORE,SHARPE_LIKE_SCORE,PORTFOLIO_WEIGHT
OFSS,784867983360.0,LARGE CAP,9015.0,29.850994,10.023962,0.32606,0.415,0.50402,0.34401,0.203,0.306,Technology,Technology,Software - Infrastructure,2026-05-16,Software Products,1,1,1,72.02,76.34,98.36,95.31,74.18,81.13,HIGH GROWTH,86,100,94.07,100.0,100.0,100.0,100.0,100.0,100.0,99.92,99.08,98.74,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.1,MODERATE VOLATILITY,RISK ON,99.75,Energy,0,87.7,6.62,1,96.87,1,3,A+,8.43,92.56,100.0,0.7198952879581152
MUTHOOTFIN,1329422663680.0,LARGE CAP,3311.39990234375,12.546983,3.732101,0.30406,379.707,0.78154,0.55206,0.537,1.267,Financials,Financial Services,Credit Services,2026-05-16,NBFC – Lending,0,1,1,90.13,90.62,97.81,98.09,90.375,92.63,ELITE GROWTH,75,90,100.0,98.71,99.68,100.0,100.0,100.0,66.66666666666666,99.88,89.76,95.65,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.1,MODERATE VOLATILITY,RISK ON,92.41,Energy,0,84.9,16.83,1,91.22,1,5,A+,18.78,94.06,95.1061678463094,0.6380890052356021
MAHABANK,600095064064.0,LARGE CAP,78.0199966430664,8.554824,1.8052244,0.22659999,29.388,0.5789,0.49278998,0.382,0.364,Financials,Financial Services,Banks - Regional,2026-05-16,Private Sector Banks,0,1,1,85.64,78.16,96.09,96.56,81.9,86.2,ELITE GROWTH,68,90,95.48,95.81,99.68,100.0,100.0,100.0,66.66666666666666,99.69,88.57,92.79,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.1,MODERATE VOLATILITY,RISK ON,92.06,Energy,0,79.73,20.4,1,88.94,1,9,A+,23.25,91.14,75.16701030927835,0.49083769633507845
KSOLVES,6674920448.0,MICRO CAP,281.3999938964844,19.42029,20.06274,0.37900110800000003,19.398,0.27325,0.21104999,0.291,0.658,Technology,Technology,Software - Application,2026-05-16,SaaS,0,1,1,80.44,84.92,99.51,86.99,82.68,86.48,ELITE GROWTH,75,60,97.46,99.15,93.22,94.44,100.0,94.44,66.66666666666666,99.45,89.27,89.12,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.1,MODERATE VOLATILITY,RISK ON,77.18,Energy,0,78.19,23.01,1,83.99,1,21,A+,21.35,87.7,78.47874720357942,0.49083769633507845
CHOLAFIN,1317949276160.0,LARGE CAP,1546.300048828125,25.00081,4.3208914,0.19334999,605.8018800000002,0.56111,0.39784,0.241,0.291,Financials,Financial Services,Credit Services,2026-05-16,NBFC – Lending,0,1,1,76.05,75.48,94.0,96.13,75.765,81.45,HIGH GROWTH,61,80,92.26,93.55,97.1,90.62,95.31,97.66,66.66666666666666,98.91,87.44,90.14,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.1,MODERATE VOLATILITY,RISK ON,86.59,Energy,0,73.65,25.95,1,85.28,1,17,A+,28.49,87.54,59.369277721261454,0.3763089005235602
ANANDRATHI,297471246336.0,MID CAP,3583.10009765625,75.75265,29.802046,0.37900110800000003,8.25,0.40331,0.31594,0.476,0.384,Financials,Financial Services,Asset Management,2026-05-16,Asset Management Companies,0,1,1,88.49,78.82,99.51,93.28,83.655,87.79,ELITE GROWTH,60,80,97.42,76.45,97.1,93.55,67.74,98.39,66.66666666666666,99.53,85.89,87.8,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.1,MODERATE VOLATILITY,RISK ON,86.35,Energy,0,75.32,26.94,1,84.46,1,29,A+,29.6,89.68,58.614379084967325,0.3599476439790576
VSTIND,44115263488.0,SMALL CAP,260.20001220703125,15.127907,3.4807038,0.21114,29.388,0.31738,0.19955999,0.309,1.195,Consumer,Consumer Defensive,Tobacco,2026-05-16,Tobacco,0,1,1,82.12,90.23,95.39,89.72,86.17500000000001,88.37,ELITE GROWTH,63,60,100.0,86.96,84.78,100.0,66.67,100.0,66.66666666666666,98.55,87.46,86.75,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.1,MODERATE VOLATILITY,RISK ON,76.5,Energy,0,73.88,29.04,1,81.79,1,35,A+,28.92,87.49,58.48262032085561,0.3599476439790576
BAJAJ-AUTO,2898142429184.0,MEGA CAP,10377.5,27.026852,7.464646,0.28046,56.289,0.18642001,0.16507,0.488,1.031,Automobiles,Consumer Cyclical,Auto Manufacturers,2026-05-16,Passenger Vehicles,0,1,1,88.75,89.1,97.34,78.74,88.925,89.59,ELITE GROWTH,55,80,100.0,97.14,98.57,100.0,92.86,96.43,66.66666666666666,99.26,89.28,94.7,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.1,MODERATE VOLATILITY,RISK ON,87.14,Energy,0,74.28,28.0,1,87.37,1,7,A+,31.34,91.08,56.32653061224489,0.3599476439790576
CALSOFT,1406596608.0,MICRO CAP,22.75,126.388885,3.4077291,0.32296002,3.905,0.88351,0.54057,4.6363528,18.561112400000106,Technology,Technology,Software - Application,2026-05-16,SaaS,0,1,1,99.51,99.51,98.28,98.91,99.51,99.2,ELITE GROWTH,60,60,100.0,94.07,93.22,100.0,95.83,94.44,66.66666666666666,99.41,88.87,89.24,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.1,MODERATE VOLATILITY,RISK ON,77.07,Energy,0,76.61,29.9,1,83.58,1,20,A+,30.19,92.03,59.01250400769477,0.3599476439790576
SOLARINDS,1566744772608.0,LARGE CAP,17314.0,93.45785,30.626848,0.31332,23.271,0.26174,0.17052001,0.409,0.7,Chemicals,Basic Materials,Specialty Chemicals,2026-05-16,Specialty Chemicals,0,1,1,86.54,85.72,97.97,86.01,86.13,88.49,ELITE GROWTH,55,80,98.77,95.68,99.69,99.12,95.61,99.56,66.66666666666666,99.1,88.81,91.25,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.1,MODERATE VOLATILITY,RISK ON,86.98,Energy,0,73.85,28.17,1,86.09,1,14,A+,31.51,90.32,55.56444171024299,0.3599476439790576
