SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,CURRENT_PRICE,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,SUBSECTOR,HIGH_QUALITY_FLAG,HIGH_GROWTH_FLAG,COMPOUNDER_FLAG,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,ROE_SCORE,OPERATING_MARGIN_SCORE,GROWTH_STABILITY_SCORE,GROWTH_SCORE,GROWTH_CATEGORY,QUALITY_SCORE,OWNERSHIP_SCORE,GROWTH_SCORE_SECTOR_REL,QUALITY_SCORE_SECTOR_REL,OWNERSHIP_SCORE_SECTOR_REL,GROWTH_SCORE_SUBSECTOR_REL,QUALITY_SCORE_SUBSECTOR_REL,OWNERSHIP_SCORE_SUBSECTOR_REL,INSTITUTIONAL_BREADTH,LEADERSHIP_SCORE,CONFIDENCE_SCORE,FINAL_SCORE,ELITE_FLAG,TRADE_DECISION,MARKET_REGIME,MARKET_BREADTH,VOLATILITY_REGIME,RISK_REGIME,SMART_MONEY_SCORE,LEADING_SECTOR,ANOMALY_FLAG,COMPOUNDER_PROBABILITY,CRASH_RISK_SCORE,BREAKOUT_FLAG,AI_CONVICTION_SCORE,AI_WATCHLIST,RANK,INSTITUTIONAL_GRADE,PORTFOLIO_RISK_SCORE,EXPECTED_RETURN_SCORE,SHARPE_LIKE_SCORE,PORTFOLIO_WEIGHT
OFSS,828504145920.0,LARGE CAP,9516.0,31.546495,10.581035,0.32606,0.415,0.50402,0.34401,0.203,0.306,Technology,Technology,Software - Infrastructure,2026-05-22,Software Products,1,1,1,71.41,75.39,98.12,95.34,73.4,80.54,HIGH GROWTH,86,100,93.04,100.0,100.0,93.33,100.0,100.0,100.0,99.92,98.92,98.56,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,99.71,Energy,0,87.48,6.68,1,96.72,1,3,A+,8.49,92.31,100.0,0.6903353057199212
DRCSYSTEMS,2203003392.0,MICRO CAP,15.289999961853027,11.583333,1.6688496,0.21816,0.371,0.25898,0.19753,0.668,0.279,Technology,Technology,Information Technology Services,2026-05-22,IT Services,1,1,1,92.52,73.73,94.67,85.5,83.125,85.67,ELITE GROWTH,81,60,96.52,99.13,93.04,96.83,100.0,92.06,100.0,99.41,99.11,93.78,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,79.63,Energy,0,81.3,16.86,1,89.08,1,10,A+,14.52,89.05,100.0,0.6410256410256411
MUTHOOTFIN,1324364201984.0,LARGE CAP,3298.800048828125,12.507298,3.7179003,0.30406,379.707,0.78154,0.55206,0.537,1.267,Financials,Financial Services,Credit Services,2026-05-22,NBFC – Lending,0,1,1,89.95,90.16,97.49,97.96,90.055,92.33,ELITE GROWTH,75,90,99.35,98.71,99.68,98.44,100.0,100.0,66.66666666666666,99.88,89.66,95.55,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,92.38,Energy,0,84.78,16.87,1,91.13,1,6,A+,18.82,93.92,94.77295660948536,0.6245890861275477
GARUDA,15843147776.0,SMALL CAP,170.27999877929688,14.845684,4.089239,0.1176,0.09106,0.32152,0.22895001,1.25,1.476,Industrials,Industrials,Engineering & Construction,2026-05-22,Engineering & EPC,0,1,0,96.24,91.3,50.02,89.85,93.77,84.63,HIGH GROWTH,85,60,98.94,100.0,97.34,98.94,100.0,97.34,33.33333333333333,99.53,79.65,86.42,0,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,74.8,Energy,0,80.59,21.87,1,80.66,1,49,A+,18.82,85.89,86.67003027245207,0.5095332018408942
MAHABANK,611940106240.0,LARGE CAP,79.55999755859375,8.723684,1.8408569,0.22659999,29.565,0.5789,0.49278998,0.382,0.364,Financials,Financial Services,Banks - Regional,2026-05-22,Private Sector Banks,0,1,1,85.05,77.35,95.1,96.43,81.19999999999999,85.5,ELITE GROWTH,68,90,94.19,95.48,99.68,100.0,100.0,100.0,66.66666666666666,99.65,88.31,92.54,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,91.99,Energy,0,79.46,20.49,1,88.73,1,12,A+,23.33,90.82,74.65680230168516,0.47666009204470744
KSOLVES,6736593408.0,MICRO CAP,284.0,19.61326,20.24811,0.3917303329949993,19.398,0.27325,0.21104999,0.291,0.658,Technology,Technology,Software - Application,2026-05-22,SaaS,0,1,1,80.07,84.17,99.51,86.76,82.12,86.06,ELITE GROWTH,75,60,98.26,97.83,93.04,97.06,100.0,95.59,66.66666666666666,99.1,89.05,88.86,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,77.04,Energy,0,78.03,23.08,1,83.79,1,28,A+,21.42,87.4,77.96610169491525,0.47666009204470744
HINDCOPPER,531863207936.0,LARGE CAP,549.7999877929688,57.894737,17.936342,0.30602,3.319,0.49885,0.29163,0.625,1.366,Metals,Basic Materials,Copper,2026-05-22,Copper,0,1,1,91.85,90.52,97.57,95.22,91.185,92.87,ELITE GROWTH,60,90,100.0,91.67,100.0,100.0,100.0,100.0,66.66666666666666,99.69,88.63,92.95,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,92.08,Energy,0,78.87,23.98,1,88.84,1,11,A+,27.87,93.45,64.73848285417388,0.41091387245233396
CUPID,163268706304.0,MID CAP,121.41999816894531,153.6962,42.70841,0.27297002,12.506,0.36597002,0.27653,1.338,2.142,Consumer,Consumer Defensive,Household & Personal Products,2026-05-22,FMCG – Personal Care,0,1,1,96.75,93.42,96.47,92.05,95.08500000000001,95.06,ELITE GROWTH,60,80,100.0,82.61,97.83,100.0,88.24,97.06,66.66666666666666,99.57,87.22,89.79,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,86.7,Energy,0,77.99,26.47,1,86.02,1,22,A+,29.14,92.67,61.49303251493032,0.37804076265614733
ANANDRATHI,299546738688.0,MID CAP,3608.10009765625,76.6051,30.009981,0.3917303329949993,8.25,0.40331,0.31594,0.476,0.384,Financials,Financial Services,Asset Management,2026-05-22,Asset Management Companies,0,1,1,88.38,77.98,99.51,93.18,83.18,87.45,ELITE GROWTH,60,80,96.77,76.13,97.1,93.55,67.74,98.39,66.66666666666666,99.26,85.64,87.56,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,86.22,Energy,0,75.17,27.03,1,84.27,1,38,A+,29.68,89.42,58.29204693611474,0.36160420775805396
CHOLAFIN,1304993857536.0,LARGE CAP,1531.0999755859375,24.771072,4.278417,0.19334999,606.3078499999995,0.56111,0.39784,0.241,0.291,Financials,Financial Services,Credit Services,2026-05-22,NBFC – Lending,0,1,1,75.63,74.47,92.46,96.08,75.05,80.64,HIGH GROWTH,61,80,90.97,92.9,97.1,87.5,93.75,97.66,66.66666666666666,98.43,86.95,89.67,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,86.34,Energy,0,73.32,26.12,1,84.89,1,23,A+,28.66,87.0,58.66486850977748,0.36160420775805396
