SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,CURRENT_PRICE,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,SUBSECTOR,HIGH_QUALITY_FLAG,HIGH_GROWTH_FLAG,COMPOUNDER_FLAG,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,ROE_SCORE,OPERATING_MARGIN_SCORE,GROWTH_STABILITY_SCORE,GROWTH_SCORE,GROWTH_CATEGORY,QUALITY_SCORE,OWNERSHIP_SCORE,GROWTH_SCORE_SECTOR_REL,QUALITY_SCORE_SECTOR_REL,OWNERSHIP_SCORE_SECTOR_REL,GROWTH_SCORE_SUBSECTOR_REL,QUALITY_SCORE_SUBSECTOR_REL,OWNERSHIP_SCORE_SUBSECTOR_REL,INSTITUTIONAL_BREADTH,LEADERSHIP_SCORE,CONFIDENCE_SCORE,FINAL_SCORE,ELITE_FLAG,TRADE_DECISION,MARKET_REGIME,MARKET_BREADTH,VOLATILITY_REGIME,RISK_REGIME,SMART_MONEY_SCORE,LEADING_SECTOR,ANOMALY_FLAG,COMPOUNDER_PROBABILITY,CRASH_RISK_SCORE,BREAKOUT_FLAG,AI_CONVICTION_SCORE,AI_WATCHLIST,RANK,INSTITUTIONAL_GRADE,PORTFOLIO_RISK_SCORE,EXPECTED_RETURN_SCORE,SHARPE_LIKE_SCORE,PORTFOLIO_WEIGHT
OFSS,829287694336.0,LARGE CAP,9525.0,31.546001,10.591042,0.32606,0.415,0.50402,0.34401,0.203,0.306,Technology,Technology,Software - Infrastructure,2026-05-23,Software Products,1,1,1,71.38,75.51,98.08,95.34,73.445,80.56,HIGH GROWTH,86,100,93.91,100.0,100.0,100.0,100.0,100.0,100.0,99.92,99.05,98.61,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,99.74,Energy,0,87.5,6.63,1,96.78,1,3,A+,8.44,92.33,100.0,0.6899950714637751
DRCSYSTEMS,2210207488.0,MICRO CAP,15.34000015258789,11.621212,1.674307,0.21816,0.371,0.25898,0.19753,0.668,0.279,Technology,Technology,Information Technology Services,2026-05-23,IT Services,1,1,1,92.4,73.84,94.55,85.46,83.12,85.64,ELITE GROWTH,81,60,96.52,99.13,93.04,96.83,100.0,92.06,100.0,99.41,99.11,93.77,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,79.63,Energy,0,81.28,16.86,1,89.07,1,10,A+,14.52,89.04,100.0,0.6407097092163627
MUTHOOTFIN,1323521146880.0,LARGE CAP,3296.699951171875,12.499811,3.7155333,0.30406,379.707,0.78154,0.55206,0.537,1.267,Financials,Financial Services,Credit Services,2026-05-23,NBFC – Lending,0,1,1,89.83,90.16,97.45,97.96,89.995,92.28,ELITE GROWTH,75,90,99.35,98.71,99.68,98.44,100.0,100.0,66.66666666666666,99.88,89.66,95.54,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,92.38,Energy,0,84.76,16.87,1,91.12,1,6,A+,18.82,93.9,94.75277497477296,0.6242812551338919
GARUDA,15767784448.0,SMALL CAP,169.47000122070312,12.867882,4.069787,0.11742,0.09106,0.32152,0.22895001,1.25,1.476,Industrials,Industrials,Engineering & Construction,2026-05-23,Engineering & EPC,0,1,0,96.2,91.3,50.02,89.81,93.75,84.61,HIGH GROWTH,85,60,98.94,100.0,97.34,98.94,100.0,97.34,33.33333333333333,99.53,79.65,86.41,0,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,74.8,Energy,0,80.58,21.87,1,80.65,1,49,A+,18.82,85.88,86.65993945509585,0.509282076556596
CCCL,6701391872.0,MICRO CAP,15.0,8.474576,3.5902345,0.26556998,0.108,-0.08659001,0.21561001,1.295,0.158,Industrials,Industrials,Engineering & Construction,2026-05-23,Engineering & EPC,1,1,0,96.43,50.02,96.16,7.45,73.22500000000001,71.23,HIGH GROWTH,80,70,79.79,98.94,100.0,79.79,98.94,100.0,66.66666666666666,98.51,86.21,85.36,0,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,81.18,Energy,0,76.05,19.83,0,82.67,0,63,A+,18.69,82.4,83.69730827831387,0.4928536224741252
KSOLVES,6716431360.0,MICRO CAP,283.1499938964844,19.568071,20.187508,0.398752280405996,19.398,0.27325,0.21104999,0.291,0.658,Technology,Technology,Software - Application,2026-05-23,SaaS,0,1,1,80.0,84.21,99.51,86.72,82.10499999999999,86.05,ELITE GROWTH,75,60,98.26,97.83,93.04,97.06,100.0,95.59,66.66666666666666,99.12,89.06,88.86,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,77.04,Energy,0,78.02,23.08,1,83.79,1,28,A+,21.42,87.4,77.96610169491525,0.4764251683916543
BSE,1703224147968.0,LARGE CAP,4193.7998046875,79.3679,21.662638,0.36003,0.09106,0.67699,0.48729,1.051,0.64,Misc,Financial Services,Financial Data & Stock Exchanges,2026-05-23,Financial Data & Stock Exchanges,1,1,1,95.45,83.78,98.47,97.37,89.61500000000001,92.16,ELITE GROWTH,85,100,99.61,99.67,99.97,80.0,90.0,90.0,100.0,99.96,99.88,100.0,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,99.96,Energy,0,91.24,6.79,1,98.21,1,1,A+,8.74,96.79,100.0,0.27930710325250907
MCX,832235634688.0,LARGE CAP,3269.89990234375,62.49809,19.776703,0.37883,0.113,0.73859,0.54818,2.0,2.912,Misc,Financial Services,Financial Data & Stock Exchanges,2026-05-23,Financial Data & Stock Exchanges,1,1,1,98.0,95.1,98.79,97.69,96.55,97.11,ELITE GROWTH,85,100,99.94,99.67,99.97,100.0,90.0,90.0,100.0,100.0,99.94,100.0,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,99.98,Energy,0,92.98,6.77,1,98.58,1,2,A+,8.72,98.63,100.0,0.27930710325250907
GILLETTE,253627023360.0,MID CAP,7783.5,47.620068,21.818228,0.11742,0.09106,0.28896,0.20177999,0.152,0.369,Consumer,Consumer Defensive,Household & Personal Products,2026-05-23,FMCG – Personal Care,0,1,0,63.28,77.64,50.02,87.66,70.46000000000001,68.09,MODERATE GROWTH,70,60,78.26,95.65,73.91,82.35,100.0,79.41,33.33333333333333,96.51,74.69,80.12,0,BUY,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,72.8,Energy,0,68.3,30.36,0,74.57,0,117,A,29.21,77.52,51.32075471698113,0.27928371940200425
BAJAJHLDNG,1166689828864.0,LARGE CAP,10483.0,12.106479,1.59471,0.12624,0.09106,0.40881002,0.9940124999999989,-0.483,0.493,Financials,Financial Services,Asset Management,2026-05-23,Asset Management Companies,0,0,0,3.29,81.09,82.84,93.34,42.190000000000005,55.44,MODERATE GROWTH,85,60,50.32,100.0,80.32,54.84,100.0,74.19,0.0,96.59,61.18,77.46,0,BUY,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,69.44,Energy,0,68.52,28.34,0,69.6,0,162,A,25.1,71.37,54.689655172413794,0.27928371940200425
