SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,CURRENT_PRICE,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,SUBSECTOR,HIGH_QUALITY_FLAG,HIGH_GROWTH_FLAG,COMPOUNDER_FLAG,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,ROE_SCORE,OPERATING_MARGIN_SCORE,GROWTH_STABILITY_SCORE,GROWTH_SCORE,GROWTH_CATEGORY,QUALITY_SCORE,OWNERSHIP_SCORE,GROWTH_SCORE_SECTOR_REL,QUALITY_SCORE_SECTOR_REL,OWNERSHIP_SCORE_SECTOR_REL,GROWTH_SCORE_SUBSECTOR_REL,QUALITY_SCORE_SUBSECTOR_REL,OWNERSHIP_SCORE_SUBSECTOR_REL,INSTITUTIONAL_BREADTH,LEADERSHIP_SCORE,CONFIDENCE_SCORE,FINAL_SCORE,ELITE_FLAG,TRADE_DECISION,MARKET_REGIME,MARKET_BREADTH,VOLATILITY_REGIME,RISK_REGIME,SMART_MONEY_SCORE,LEADING_SECTOR,ANOMALY_FLAG,COMPOUNDER_PROBABILITY,CRASH_RISK_SCORE,BREAKOUT_FLAG,AI_CONVICTION_SCORE,AI_WATCHLIST,RANK,INSTITUTIONAL_GRADE,PORTFOLIO_RISK_SCORE,EXPECTED_RETURN_SCORE,SHARPE_LIKE_SCORE,PORTFOLIO_WEIGHT
OFSS,867508944896.0,LARGE CAP,9964.0,33.003212,11.079175,0.32606,0.415,0.50402,0.34401,0.203,0.306,Technology,Technology,Software - Infrastructure,2026-05-30,Software Products,1,1,1,70.83,75.0,97.34,95.18,72.91499999999999,80.03,HIGH GROWTH,86,100,93.04,100.0,100.0,100.0,100.0,100.0,100.0,99.92,98.92,98.45,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,99.71,Energy,0,87.3,6.68,1,96.65,1,3,A+,8.49,92.11,100.0,0.6772381896266931
MUTHOOTFIN,1342068883456.0,LARGE CAP,3342.89990234375,12.674502,3.767603,0.30406,379.707,0.78154,0.55206,0.537,1.267,Financials,Financial Services,Credit Services,2026-05-30,NBFC – Lending,0,1,1,89.74,90.13,96.52,97.85,89.935,92.04,ELITE GROWTH,75,90,99.35,99.35,99.68,98.46,100.0,100.0,66.66666666666666,99.88,89.76,95.53,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,92.41,Energy,0,84.69,16.83,1,91.14,1,6,A+,18.78,93.83,94.87360970677452,0.611166171126528
DRCSYSTEMS,2155456768.0,MICRO CAP,14.960000038146973,10.685715,1.6328313,0.21816,0.371,0.23049,0.19753,0.607,0.279,Technology,Technology,Information Technology Services,2026-05-30,IT Services,1,1,1,91.52,73.53,92.13,83.91,82.525,84.58,HIGH GROWTH,73,60,95.65,97.39,92.17,96.83,98.41,90.48,100.0,98.63,98.41,91.89,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,79.26,Energy,0,77.64,20.71,1,87.51,1,16,A+,19.4,88.03,86.30392156862746,0.5285761480013215
GARUDA,16186472448.0,SMALL CAP,173.97000122070312,13.517483,3.5512779,0.31127,2.649,0.32101002,0.23080999,0.827,0.908,Industrials,Industrials,Engineering & Construction,2026-05-30,Engineering & EPC,0,1,1,94.13,87.33,96.67,89.98,90.72999999999999,91.84,ELITE GROWTH,75,70,100.0,98.95,99.47,100.0,98.95,99.47,66.66666666666666,99.69,89.72,90.43,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,82.35,Energy,0,81.62,20.85,1,86.47,1,21,A+,20.4,91.04,85.08411214953271,0.5120581433762803
CCCL,6598637568.0,MICRO CAP,14.770000457763672,8.344633,3.5351844,0.26556998,0.108,-0.08659001,0.21561001,1.295,0.17,Industrials,Industrials,Engineering & Construction,2026-05-30,Engineering & EPC,1,1,0,96.52,50.04,94.56,8.03,73.28,71.01,HIGH GROWTH,80,70,77.89,100.0,99.47,77.89,100.0,99.47,66.66666666666666,98.43,86.06,85.23,0,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,81.12,Energy,0,75.96,19.88,0,82.56,0,70,A+,18.74,82.27,83.35359675785207,0.4790221341261976
MAHABANK,609709522944.0,LARGE CAP,79.2699966430664,8.691886,1.8341469,0.22659999,29.47,0.5789,0.49278998,0.382,0.364,Financials,Financial Services,Banks - Regional,2026-05-30,Private Sector Banks,0,1,1,85.04,76.78,92.87,96.44,80.91,84.86,HIGH GROWTH,68,90,95.48,95.81,99.68,100.0,98.78,100.0,66.66666666666666,99.61,88.54,92.49,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,92.04,Energy,0,79.26,20.41,1,88.74,1,13,A+,23.26,90.59,74.68260511129431,0.4625041295011564
KSOLVES,6766244352.0,MICRO CAP,285.25,19.685991,20.33723,0.4688412896269988,19.398,0.27325,0.21104999,0.291,0.658,Technology,Technology,Software - Application,2026-05-30,SaaS,0,1,1,79.87,83.95,99.51,87.16,81.91,85.96,ELITE GROWTH,75,60,97.39,98.7,92.17,94.12,100.0,95.59,66.66666666666666,99.06,89.04,88.82,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,77.03,Energy,0,77.99,23.09,1,83.76,1,31,A+,21.43,87.35,77.88675880517164,0.4625041295011564
HINDCOPPER,520935833600.0,LARGE CAP,538.7000122070312,56.824898,17.567833,0.30602,3.319,0.48468,0.29843,0.581,1.366,Metals,Basic Materials,Copper,2026-05-30,Copper,0,1,1,90.62,90.6,96.59,94.91,90.61,92.24,ELITE GROWTH,60,90,100.0,91.67,100.0,100.0,100.0,100.0,66.66666666666666,99.65,88.61,92.8,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,92.06,Energy,0,78.64,23.99,1,88.74,1,11,A+,27.87,93.19,64.55836508486317,0.3964321110009912
CUPID,173541916672.0,MID CAP,129.05999755859375,163.36708,45.39571,0.27297002,12.506,0.30211002,0.2894,1.124,2.142,Consumer,Consumer Defensive,Household & Personal Products,2026-05-30,FMCG – Personal Care,0,1,1,95.73,93.97,94.99,89.15,94.85,94.31,ELITE GROWTH,60,80,100.0,73.91,97.83,100.0,82.35,97.06,66.66666666666666,99.53,85.9,89.1,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,86.36,Energy,0,77.6,26.94,1,85.32,1,28,A+,29.6,92.18,60.248366013071895,0.36339610175090853
GODFRYPHLP,356075175936.0,MID CAP,2282.800048828125,23.365406,5.731459,0.26593,3.757,0.29102,0.23878,0.136,0.861,Consumer,Consumer Defensive,Tobacco,2026-05-30,Tobacco,0,1,1,60.87,86.75,94.64,88.41,73.81,79.44,HIGH GROWTH,68,70,82.61,91.3,84.78,66.67,66.67,83.33,66.66666666666666,98.24,85.38,86.8,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,80.9,Energy,0,74.04,25.52,0,82.42,0,48,A+,25.93,85.1,63.200891199405866,0.36339610175090853
ANANDRATHI,286479286272.0,MID CAP,3450.699951171875,73.29439,28.700823,0.46738997,8.25,0.40331,0.31594,0.476,0.384,Financials,Financial Services,Asset Management,2026-05-30,Asset Management Companies,0,1,1,88.25,77.45,98.98,93.27,82.85,87.12,ELITE GROWTH,60,80,96.77,76.77,97.42,93.33,70.0,98.33,66.66666666666666,99.1,85.67,87.47,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,86.19,Energy,0,75.06,27.02,1,84.22,1,42,A+,29.67,89.25,58.200195630909676,0.34687809712586726
KARURVYSYA,279111204864.0,MID CAP,288.75,11.122882,2.1803808,0.19282,29.47,0.57609004,0.4005,0.195,0.412,Financials,Financial Services,Banks - Regional,2026-05-30,Private Sector Banks,0,1,1,69.5,78.19,88.96,96.36,73.845,79.12,HIGH GROWTH,68,60,89.68,95.81,79.35,95.12,98.78,73.17,66.66666666666666,97.3,86.74,87.04,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,76.01,Energy,0,72.57,27.04,0,81.31,0,43,A+,26.27,83.75,61.42280894756142,0.34687809712586726
SRM,11841440768.0,SMALL CAP,516.0,14.642451,3.9578445,0.32252,32.634,0.16452,0.107329994,0.982,1.266,Industrials,Industrials,Engineering & Construction,2026-05-30,Engineering & EPC,0,1,1,95.16,90.09,97.22,75.1,92.625,91.79,ELITE GROWTH,62,60,98.95,94.21,95.79,98.95,94.21,95.79,66.66666666666666,98.36,88.32,87.58,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,76.67,Energy,0,74.76,29.19,1,82.47,1,41,A+,29.21,88.83,58.80834160873882,0.34687809712586726
CHOLAFIN,1310798643200.0,LARGE CAP,1537.699951171875,24.873827,4.2968597,0.19334999,606.2625499999995,0.56111,0.39784,0.241,0.291,Financials,Financial Services,Credit Services,2026-05-30,NBFC – Lending,0,1,1,75.25,74.18,89.02,95.97,74.715,79.7,HIGH GROWTH,61,80,90.97,92.26,97.42,87.69,92.31,97.69,66.66666666666666,98.28,86.8,89.38,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,86.27,Energy,0,72.97,26.17,0,84.68,0,26,A+,28.71,86.58,58.28340626051834,0.34687809712586726
TRAVELFOOD,161254703104.0,MID CAP,1224.5999755859375,36.631767,13.618923,0.35699,16.722,0.31843,0.26765,0.257,0.172,Hospitality,Consumer Cyclical,Restaurants,2026-05-30,Restaurants,0,1,1,76.68,67.6,97.81,89.78,72.14,79.04,HIGH GROWTH,60,80,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,97.92,89.17,86.96,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,86.77,Energy,0,72.58,25.79,0,84.59,0,45,A+,28.48,86.31,58.55495251017639,0.34687809712586726
CALSOFT,1240896512.0,MICRO CAP,20.06999969482422,111.49999,3.0062912,0.32296002,3.905,0.88351,0.54057,5.036063599999961,14.654629999999868,Technology,Technology,Software - Application,2026-05-30,SaaS,0,1,1,99.51,99.51,97.26,98.67,99.51,98.98,ELITE GROWTH,60,60,100.0,91.3,92.17,100.0,97.06,95.59,66.66666666666666,98.98,88.29,88.86,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,76.82,Energy,0,76.47,30.1,1,83.23,1,30,A+,30.38,91.72,58.45761631612493,0.34687809712586726
BAJAJ-AUTO,2921182527488.0,MEGA CAP,10460.0,27.248098,7.523989,0.28046,56.289,0.18642001,0.16507,0.488,1.031,Automobiles,Consumer Cyclical,Auto Manufacturers,2026-05-30,Passenger Vehicles,0,1,1,88.53,88.27,95.38,78.5,88.4,88.81,ELITE GROWTH,55,80,99.04,95.67,99.04,100.0,92.86,92.86,66.66666666666666,98.83,88.74,94.22,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,86.89,Energy,0,73.96,28.19,1,86.97,1,9,A+,31.53,90.57,55.68398401475561,0.34687809712586726
NAM-INDIA,702458888192.0,LARGE CAP,1100.199951171875,46.520084,15.040944,0.34476003,1.617,0.65431,0.52143,0.196,0.273,Financials,Financial Services,Asset Management,2026-05-30,Asset Management Companies,0,1,1,69.73,73.2,97.61,97.06,71.465,79.25,HIGH GROWTH,60,80,90.32,76.77,97.42,90.0,70.0,98.33,66.66666666666666,97.96,84.25,88.04,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,85.55,Energy,0,72.16,27.51,0,83.29,0,35,A+,30.15,85.88,55.13964686998395,0.33036009250082593
KPEL,24172273664.0,SMALL CAP,357.6000061035156,13.333334,4.60706,0.43485,100.154,0.19368,0.12117,0.575,0.693,Industrials,Industrials,Engineering & Construction,2026-05-30,Engineering & EPC,0,1,1,90.52,84.61,98.9,79.6,87.565,89.04,ELITE GROWTH,62,60,97.89,94.21,95.79,97.89,94.21,95.79,66.66666666666666,97.89,87.97,86.77,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,76.46,Energy,0,73.76,29.31,1,81.89,1,49,A+,29.33,87.58,57.75140125288494,0.33036009250082593
VSTIND,43352313856.0,SMALL CAP,255.6999969482422,14.849013,3.4205072,0.21114,29.47,0.31738,0.19955999,0.309,1.195,Consumer,Consumer Defensive,Tobacco,2026-05-30,Tobacco,0,1,1,81.15,89.47,91.35,89.74,85.31,86.96,ELITE GROWTH,63,60,95.65,82.61,69.57,100.0,33.33,33.33,66.66666666666666,97.77,85.85,85.62,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,75.9,Energy,0,73.22,29.6,1,80.77,1,65,A+,29.47,86.46,56.75090252707581,0.33036009250082593
SOLARINDS,1651172048896.0,LARGE CAP,18247.0,98.0389,26.303497,0.31332,23.271,0.26174,0.17052001,0.409,0.7,Chemicals,Basic Materials,Specialty Chemicals,2026-05-30,Specialty Chemicals,0,1,1,86.18,84.75,96.75,86.3,85.465,87.81,ELITE GROWTH,55,80,98.14,95.65,99.69,98.25,95.61,99.56,66.66666666666666,98.59,88.5,90.86,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,86.77,Energy,0,73.58,28.28,1,85.79,1,20,A+,31.61,89.84,55.09966268015947,0.33036009250082593
ACUTAAS,256461291520.0,MID CAP,3132.5,89.29589,15.5131855,0.23516001,2.081,0.4018,0.26599002,0.403,1.056,Chemicals,Basic Materials,Specialty Chemicals,2026-05-30,Specialty Chemicals,0,1,1,85.79,88.45,93.27,93.19,87.12,88.96,ELITE GROWTH,53,80,99.38,94.1,99.69,100.0,94.3,99.56,66.66666666666666,98.51,88.43,87.74,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,86.74,Energy,0,73.18,29.2,1,84.75,1,38,A+,32.79,89.96,53.24652263983427,0.31384208787578466
ANTHEM,426874437632.0,MID CAP,759.9500122070312,73.00192,14.02277,0.21708,1.772,0.37258,0.27858,0.264,1.272,Healthcare,Healthcare,Biotechnology,2026-05-30,Biotechnology,0,1,1,77.39,90.17,92.05,92.33,83.78,86.29,ELITE GROWTH,53,80,100.0,77.08,100.0,100.0,75.0,100.0,66.66666666666666,98.2,85.84,86.09,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,86.01,Energy,0,71.99,30.11,1,83.19,1,57,A+,33.68,88.45,51.009227220299884,0.29732408325074333
CEINSYS,19587180544.0,SMALL CAP,935.5,13.793866,2.54625,0.24595,8.43,0.22002001,0.20194,0.199,0.681,Industrials,Industrials,Engineering & Construction,2026-05-30,Engineering & EPC,0,1,1,70.24,84.34,93.81,83.05,77.28999999999999,81.17,HIGH GROWTH,60,60,94.74,91.05,95.79,94.74,91.05,95.79,66.66666666666666,96.67,86.54,84.02,0,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,75.8,Energy,0,70.06,30.71,1,79.8,0,78,A,30.98,83.9,52.470293933708575,0.29732408325074333
ECLERX,140512083968.0,MID CAP,1507.800048828125,20.257961,5.445582,0.29,15.012,0.21125999,0.17153,0.233,0.26,Technology,Technology,Information Technology Services,2026-05-30,IT Services,0,1,1,74.33,72.63,95.97,82.11,73.47999999999999,78.84,HIGH GROWTH,55,70,91.3,86.96,96.96,92.06,85.71,97.62,66.66666666666666,96.55,85.36,84.3,0,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,80.48,Energy,0,68.63,31.37,0,80.48,0,76,A,33.48,83.92,48.67749419953597,0.28080607862570206
ENGINERSIN,130225217536.0,MID CAP,231.6999969482422,18.837399,4.7989893,0.11477,0.731,0.28259,0.19338,0.583,2.186,Industrials,Industrials,Engineering & Construction,2026-05-30,Engineering & EPC,0,1,0,90.72,94.05,50.02,87.82,92.38499999999999,83.46,HIGH GROWTH,65,55,96.84,96.32,92.63,96.84,96.32,92.63,33.33333333333333,97.06,77.8,83.83,0,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,71.22,Energy,0,71.24,32.52,1,76.65,0,83,A,31.45,83.32,51.35285053929121,0.28080607862570206
SWARAJENG,46601572352.0,SMALL CAP,3826.0,23.693336,9.506889,0.43234003,0.419,0.1275,0.09781,0.202,0.201,Automobiles,Consumer Cyclical,Auto Parts,2026-05-30,Auto Components,1,1,0,70.63,69.15,98.86,65.66,69.89,75.26,HIGH GROWTH,61,60,76.92,100.0,90.87,78.89,100.0,95.56,66.66666666666666,95.81,84.86,82.1,0,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,75.17,Energy,0,68.23,30.85,0,78.28,0,99,A,30.97,81.14,50.76008758210823,0.28080607862570206
MCX,751961899008.0,LARGE CAP,2954.5,56.502197,17.869131,0.37883,0.113,0.73859,0.54818,2.0,2.912,Misc,Financial Services,Financial Data & Stock Exchanges,2026-05-30,Financial Data & Stock Exchanges,1,1,1,98.0,95.5,98.2,97.65,96.75,97.13,ELITE GROWTH,85,100,99.94,99.64,99.97,100.0,90.0,90.0,100.0,100.0,99.94,100.0,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,99.98,Energy,0,92.99,6.77,1,98.58,1,1,A+,8.72,98.64,100.0,0.27283160069676515
BSE,1683851837440.0,LARGE CAP,4146.10009765625,78.12512,21.41625,0.36003,0.08224000000000001,0.67699,0.48729,1.051,0.64,Misc,Financial Services,Financial Data & Stock Exchanges,2026-05-30,Financial Data & Stock Exchanges,1,1,1,95.46,83.56,97.85,97.34,89.50999999999999,91.96,ELITE GROWTH,85,100,99.45,99.64,99.97,80.0,90.0,90.0,100.0,99.96,99.85,100.0,1,INSTITUTIONAL ELITE,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,99.95,Energy,0,91.17,6.8,1,98.18,1,2,A+,8.75,96.71,100.0,0.27283160069676515
CGCL,190852857856.0,MID CAP,198.36000061035156,19.60079,2.6547818,0.16496,334.728,0.39968,0.33626,0.72,0.371,Financials,Financial Services,Credit Services,2026-05-30,NBFC – Lending,0,1,0,93.11,77.15,84.69,93.11,85.13,85.84,ELITE GROWTH,60,70,96.13,76.77,92.26,95.38,76.15,93.08,33.33333333333333,98.08,75.17,82.76,0,INSTITUTIONAL STRONG BUY,WEAK MARKET,-27.88,MODERATE VOLATILITY,RISK ON,78.31,Energy,0,72.06,32.69,1,77.61,0,90,A,34.04,85.71,48.921232876712324,0.26428807400066073
